tractNumber,tractId,bookPage,recordDate,recordYear,jurisdiction,engineeringCompany,aliasesAndLineage,multiDateAcceptance,inLaderaCanonicalSet,sourceId,limitations
15617,LH-TRACT-15617,MM 787/48-50,1999-07-28,1999,UNINCORPORATED,,documented_parent_child_map:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15632,LH-TRACT-15632,MM 790/34-37,1999-08-30,1999,UNINCORPORATED,JAMES R CRAWFORD,documented_parent_child_map:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15884,LH-TRACT-15884,MM 794/33-44,2000-01-14,2000,UNINCORPORATED,HUITT ZOLLARS,contains_or_matches_extent:15885; documented_parent_child_map:15886; documented_parent_child_map:15887; documented_parent_child_map:15888,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15624,LH-TRACT-15624,MM 798/38-43,2000-04-06,2000,UNINCORPORATED,FUSCOE ENGRING,contains_or_matches_extent:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15827,LH-TRACT-15827,MM 797/32-39,2000-05-10,2000,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,documented_parent_child_map:15914; documented_parent_child_map:15915; partial_overlap:15813; partial_overlap:16203,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15887,LH-TRACT-15887,MM 802/25-28,2000-06-02,2000,UNINCORPORATED,"HUNSAKER AND ASSOC IRVINE, INC",documented_parent_child_map:15884,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15888,LH-TRACT-15888,MM 802/14-17,2000-06-02,2000,UNINCORPORATED,"HUNSAKER AND ASSOC IRVINE, INC",documented_parent_child_map:15884,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15904,LH-TRACT-15904,MM 800/48-50,2000-06-02,2000,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,contains_or_matches_extent:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15813,LH-TRACT-15813,MM 795/1-16,2000-06-14,2000,UNINCORPORATED,HUITT-ZOLLARS,contains_or_matches_extent:15903; contains_or_matches_extent:15904; contains_or_matches_extent:15905; contains_or_matches_extent:15906; contains_or_matches_extent:15910; documented_parent_child_map:15901; documented_parent_child_map:15902; documented_parent_child_map:15907; documented_parent_child_map:15908; documented_parent_child_map:15909; documented_parent_child_map:15911; documented_parent_child_map:15912; partial_overlap:15827,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15902,LH-TRACT-15902,MM 803/28-30,2000-06-16,2000,UNINCORPORATED,,documented_parent_child_map:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15903,LH-TRACT-15903,MM 803/22-27,2000-06-16,2000,UNINCORPORATED,"WAGNER HALLADAY,IN",contains_or_matches_extent:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15906,LH-TRACT-15906,MM 803/16-21,2000-06-16,2000,UNINCORPORATED,"WAGNER HALLADAY,IN",contains_or_matches_extent:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15912,LH-TRACT-15912,MM 804/1-4,2000-06-22,2000,UNINCORPORATED,,documented_parent_child_map:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15901,LH-TRACT-15901,MM 803/48-50,2000-07-06,2000,UNINCORPORATED,,documented_parent_child_map:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15885,LH-TRACT-15885,MM 804/30-33,2000-07-27,2000,UNINCORPORATED,MDS CNSLT,contains_or_matches_extent:15884,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15905,LH-TRACT-15905,MM 805/6-8,2000-08-16,2000,UNINCORPORATED,DOUGLAS BENDER AND ASSOC.,contains_or_matches_extent:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15907,LH-TRACT-15907,MM 805/26-28,2000-08-25,2000,UNINCORPORATED,,documented_parent_child_map:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15915,LH-TRACT-15915,MM 805/29-34,2000-08-25,2000,UNINCORPORATED,"FUSCOE ENGRING,INC",documented_parent_child_map:15827,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15631,LH-TRACT-15631,MM 795/26-30,2000-09-14,2000,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,documented_parent_child_map:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15911,LH-TRACT-15911,MM 806/27-30,2000-10-11,2000,UNINCORPORATED,RBF,documented_parent_child_map:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15910,LH-TRACT-15910,MM 806/33-37,2000-10-13,2000,UNINCORPORATED,RBF,contains_or_matches_extent:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15886,LH-TRACT-15886,MM 807/25-28,2000-10-30,2000,UNINCORPORATED,HUNSAKER AND ASSOC,documented_parent_child_map:15884,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16025,LH-TRACT-16025,MM 812/22-29,2001-01-26,2001,UNINCORPORATED,HUITT-ZOLLARS,contains_or_matches_extent:16115; contains_or_matches_extent:16117; documented_parent_child_map:16114; documented_parent_child_map:16116; partial_overlap:16235,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16155,LH-TRACT-16155,MM 812/30-39,2001-01-26,2001,UNINCORPORATED,HUITT-ZOLLARS,contains_or_matches_extent:16101; contains_or_matches_extent:16102; contains_or_matches_extent:16103; contains_or_matches_extent:16105; contains_or_matches_extent:16127; documented_parent_child_map:16104; partial_overlap:16157,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16156,LH-TRACT-16156,MM 812/40-48,2001-01-26,2001,UNINCORPORATED,HUITT-ZOLLARS,contains_or_matches_extent:16119; contains_or_matches_extent:16120; contains_or_matches_extent:16121; contains_or_matches_extent:16122; documented_parent_child_map:16118; documented_parent_child_map:16126,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16157,LH-TRACT-16157,MM 813/1-9,2001-01-26,2001,UNINCORPORATED,HUITT-ZOLLARS,contains_or_matches_extent:16270; partial_overlap:16155,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15619,LH-TRACT-15619,MM 814/3-6,2001-03-09,2001,UNINCORPORATED,DOUGLAS BENDER AND ASSOC.,partial_overlap:16063,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16105,LH-TRACT-16105,MM 823/18-26,2001-04-01,2001,UNINCORPORATED,ADAMS-STREETER CIVIL ENG,contains_or_matches_extent:16155,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16063,LH-TRACT-16063,MM 818/32-40,2001-05-25,2001,UNINCORPORATED,DOUGLAS BENDER AND ASSOC.,partial_overlap:15619,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15914,LH-TRACT-15914,MM 817/45-47,2001-05-30,2001,UNINCORPORATED,FUSCOE ENGRING,documented_parent_child_map:15827,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16102,LH-TRACT-16102,MM 819/1-5,2001-06-12,2001,UNINCORPORATED,HUITT-ZOLLARS,contains_or_matches_extent:16155,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16103,LH-TRACT-16103,MM 817/1-5,2001-06-12,2001,UNINCORPORATED,HUITT-ZOLLARS,contains_or_matches_extent:16155,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15908,LH-TRACT-15908,MM 820/10-15,2001-06-29,2001,UNINCORPORATED,"TETRA-TECH, INC",documented_parent_child_map:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15909,LH-TRACT-15909,MM 820/29-34,2001-06-29,2001,UNINCORPORATED,"TETRA-TECH, INC",documented_parent_child_map:15813,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16101,LH-TRACT-16101,MM 820/21-25,2001-06-29,2001,UNINCORPORATED,RBF CONSULTANTS,contains_or_matches_extent:16155,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16127,LH-TRACT-16127,MM 821/29-34,2001-07-30,2001,UNINCORPORATED,HUNSAKER AND ASSOC INC,contains_or_matches_extent:16155,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16104,LH-TRACT-16104,MM 821/35-40,2001-07-31,2001,UNINCORPORATED,HUNSAKER AND ASSOC INC,documented_parent_child_map:16155,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16114,LH-TRACT-16114,MM 821/41-44,2001-07-31,2001,UNINCORPORATED,HUNSAKER AND ASSOC INC,documented_parent_child_map:16025,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16120,LH-TRACT-16120,MM 822/40-43,2001-10-12,2001,UNINCORPORATED,DAVID EVANS AND ASSOC,contains_or_matches_extent:16156,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16118,LH-TRACT-16118,MM 823/30-33,2001-10-26,2001,UNINCORPORATED,RBF CNSLT,documented_parent_child_map:16156,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16126,LH-TRACT-16126,MM 824/15-20,2001-11-08,2001,UNINCORPORATED,HUNSAKER AND ASSOC INC,documented_parent_child_map:16156,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16117,LH-TRACT-16117,MM 826/1-3,2001-12-26,2001,UNINCORPORATED,HUITT-ZOLLARDS,contains_or_matches_extent:16025,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16119,LH-TRACT-16119,MM 824/48-50,2001-12-26,2001,UNINCORPORATED,HUITT-ZOLLARDS,contains_or_matches_extent:16156,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16121,LH-TRACT-16121,MM 825/46-50,2001-12-26,2001,UNINCORPORATED,HUITT-ZOLLARDS,contains_or_matches_extent:16156,YES - do not collapse to one completion date,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16122,LH-TRACT-16122,MM 823/34-38,2001-12-26,2001,UNINCORPORATED,DAVID EVANS AND ASSOC,contains_or_matches_extent:16156,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16234,LH-TRACT-16234,MM 825/19-29,2001-12-26,2001,UNINCORPORATED,HUITT-ZOLLARDS,contains_or_matches_extent:16238; contains_or_matches_extent:16239; contains_or_matches_extent:16241; contains_or_matches_extent:16242; documented_parent_child_map:16236; documented_parent_child_map:16237; documented_parent_child_map:16240,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16203,LH-TRACT-16203,MM 826/8-20,2002-01-24,2002,UNINCORPORATED,HUITT-ZOLLARS,contains_or_matches_extent:16247; contains_or_matches_extent:16248; contains_or_matches_extent:16249; contains_or_matches_extent:16250; partial_overlap:15827; partial_overlap:16341,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16115,LH-TRACT-16115,MM 825/40-45,2002-02-14,2002,UNINCORPORATED,HUITT-ZOLLARDS,contains_or_matches_extent:16025,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16235,LH-TRACT-16235,MM 825/30-39,2002-02-14,2002,UNINCORPORATED,HUITT-ZOLLARDS,contains_or_matches_extent:16244; contains_or_matches_extent:16245; contains_or_matches_extent:16246; documented_parent_child_map:16243; partial_overlap:15987; partial_overlap:16025,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16116,LH-TRACT-16116,MM 830/35-40,2002-05-16,2002,UNINCORPORATED,HUNSAKER AND ASSOC INC,documented_parent_child_map:16025,YES - do not collapse to one completion date,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16247,LH-TRACT-16247,MM 832/16-19,2002-05-24,2002,UNINCORPORATED,ADAMS-STREETER CIVIL ENGRING INC,contains_or_matches_extent:16203,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16250,LH-TRACT-16250,MM 832/20-23,2002-05-24,2002,UNINCORPORATED,ADAMS-STREETER CIVIL ENG,contains_or_matches_extent:16203,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16236,LH-TRACT-16236,MM 832/24-29,2002-05-29,2002,UNINCORPORATED,HUNSAKER AND ASSOC INC,documented_parent_child_map:16234,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16242,LH-TRACT-16242,MM 833/24-27,2002-06-18,2002,UNINCORPORATED,ADAMS-STREETER CIVIL ENG,contains_or_matches_extent:16234,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16239,LH-TRACT-16239,MM 834/9-15,2002-06-26,2002,UNINCORPORATED,WAGNER HALLADAY INC,contains_or_matches_extent:16234,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16240,LH-TRACT-16240,MM 834/22-25,2002-06-28,2002,UNINCORPORATED,FUSCOE ENGRING,documented_parent_child_map:16234,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16245,LH-TRACT-16245,MM 835/7-11,2002-07-26,2002,UNINCORPORATED,ADAMS-STREETER CIVIL ENG,contains_or_matches_extent:16235,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16237,LH-TRACT-16237,MM 835/17-20,2002-08-14,2002,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,documented_parent_child_map:16234,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16238,LH-TRACT-16238,MM 835/21-25,2002-08-21,2002,UNINCORPORATED,HUITT - ZOLLARS,contains_or_matches_extent:16234,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16249,LH-TRACT-16249,MM 835/26-33,2002-08-22,2002,UNINCORPORATED,ADAMS - STREETER CIVIL ENGRING INC,contains_or_matches_extent:16203,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16243,LH-TRACT-16243,MM 835/34-39,2002-08-30,2002,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:16235,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16270,LH-TRACT-16270,MM 836/40-43,2002-09-27,2002,UNINCORPORATED,FUSCOE ENGRING INC,contains_or_matches_extent:16157,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15987,LH-TRACT-15987,MM 839/1-18,2002-12-17,2002,UNINCORPORATED,HUITT ZOLLARS,contains_or_matches_extent:16384; contains_or_matches_extent:16386; contains_or_matches_extent:16505; documented_parent_child_map:16385; documented_parent_child_map:16387; documented_parent_child_map:16388; documented_parent_child_map:16389; documented_parent_child_map:16390; documented_parent_child_map:16414; documented_parent_child_map:16515; partial_overlap:16235; partial_overlap:16391,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16248,LH-TRACT-16248,MM 839/27-33,2003-01-17,2003,UNINCORPORATED,STREETER CIVIL ENGRING INC,contains_or_matches_extent:16203,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16389,LH-TRACT-16389,MM 839/24-26,2003-02-06,2003,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16414,LH-TRACT-16414,MM 838/47-50,2003-02-06,2003,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16241,LH-TRACT-16241,MM 840/32-36,2003-02-25,2003,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,contains_or_matches_extent:16234,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16271,LH-TRACT-16271,MM 839/34-45,2003-02-27,2003,UNINCORPORATED,HUITT ZOLLARS,contains_or_matches_extent:16352; documented_parent_child_map:16351; documented_parent_child_map:16353; documented_parent_child_map:16354; documented_parent_child_map:16355; documented_parent_child_map:16356,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16341,LH-TRACT-16341,MM 840/1-20,2003-02-27,2003,UNINCORPORATED,HUITT ZOLLARS,contains_or_matches_extent:16348; contains_or_matches_extent:16349; documented_parent_child_map:16342; documented_parent_child_map:16346; documented_parent_child_map:16347; documented_parent_child_map:16350; partial_overlap:16203,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15985,LH-TRACT-15985,MM 842/8-20,2003-04-04,2003,UNINCORPORATED,HALL AND FOREMAN INC,partial_overlap:16687,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16244,LH-TRACT-16244,MM 840/47-50,2003-05-02,2003,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,contains_or_matches_extent:16235,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16246,LH-TRACT-16246,MM 842/45-49,2003-05-02,2003,UNINCORPORATED,HUITT ZOLLARS,contains_or_matches_extent:16235,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16349,LH-TRACT-16349,MM 847/5-10,2003-07-08,2003,UNINCORPORATED,ADAMS - STREETER CIVIL ENGRS INC,contains_or_matches_extent:16341,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16350,LH-TRACT-16350,MM 847/1-4,2003-07-08,2003,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:16341,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16342,LH-TRACT-16342,MM 847/36-39,2003-07-25,2003,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:16341,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16346,LH-TRACT-16346,MM 848/15-18,2003-08-18,2003,UNINCORPORATED,FSCOE ENGRING INC,documented_parent_child_map:16341,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16348,LH-TRACT-16348,MM 848/23-28,2003-08-18,2003,UNICORPORATED TERRITORY,STREETER CIVIL ENGRS INC,contains_or_matches_extent:16341,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16354,LH-TRACT-16354,MM 848/19-22,2003-08-18,2003,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:16271,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15986,LH-TRACT-15986,MM 849/1-15,2003-08-28,2003,UNINCORPORATED,HUITT-ZOLLARS,contains_or_matches_extent:16393; contains_or_matches_extent:16400; documented_parent_child_map:16390; documented_parent_child_map:16392; documented_parent_child_map:16394; documented_parent_child_map:16395; documented_parent_child_map:16504; documented_parent_child_map:16667; partial_overlap:16391,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16356,LH-TRACT-16356,MM 848/44-46,2003-08-28,2003,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:16271,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16347,LH-TRACT-16347,MM 849/31-39,2003-09-19,2003,UNINCORPORATED,ADAMS STREETER CIVIL ENGRS INC,documented_parent_child_map:16341,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
