roadName,tractSource,tractNumberParsed,tractAcceptanceDate,serviceArea,limits,objectId,keyNum,gisMiles,status,isMultiDateTract,sourceId,doNotClaim
BLAKEMORE DRIVE,TR 15618,15618,2003-06-17,NORTH LADERA RANCH,33' N/E KEMPTON TO END,2004,30550,0.270000011,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
KEMPTON LANE,TR 15618,15618,2003-06-17,NORTH LADERA RANCH,40' W/O BLAKEMORE DR. TO END,2637,124050,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CROWN VALLEY PARKWAY (N1/2),TR 15619,15619,2005-01-11,NORTH LADERA RANCH,60' E/O ANTONIO PKWY. TO 38' E/O APEX DR.,2259,68585,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
STATION WAY,TR 15619,15619,2005-01-11,NORTH LADERA RANCH,60' E/O ANTONIO PKWY.  TO END,3317,224375,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LONE OAK CIRCLE,TR 15620,15620,2002-02-26,NORTH LADERA RANCH,SLEEPY HOLLOW LN. TO END,2764,143793,0.0199999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MAYVILLE PLACE,TR 15620,15620,2002-02-26,NORTH LADERA RANCH,SLEEPY HOLLOW LN. TO END,2836,154500,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SLEEPY HOLLOW LANE,TR 15620,15620,2002-02-26,NORTH LADERA RANCH,82' N/ SIENNA PKWY. TO END,3289,221760,0.170000002,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SOMMERVILLE PLACE,TR 15620,15620,2002-02-26,NORTH LADERA RANCH,SLEEPY HOLLOW LN. TO END,3302,222126,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
VINEWOOD LANE,TR 15620,15620,2002-02-26,NORTH LADERA RANCH,SLEEPY HOLLOW LN. TO END,3436,238180,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LAURELHURST DRIVE,TR 15621,15621,2002-04-09,NORTH LADERA RANCH,36' SE/WALDEN ST TO END,2708,137550,0.140000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ALLBROOK COURT,TR 15622,15622,2003-01-14,NORTH LADERA RANCH,CLAYMONT DR. E & W TO ENDS,1862,3500,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CLAYMONT DRIVE,TR 15622,15622,2003-01-14,NORTH LADERA RANCH,LAURELHURST DR. TO ALLBROOK CT.,2199,62100,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LAURELHURST DRIVE,TR 15622,15622,2003-01-14,NORTH LADERA RANCH,65' NW'LY/O  WALDEN ST. TO END,2709,137551,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CHANTILLY LANE,TR 15623,15623,2002-02-05,NORTH LADERA RANCH,PLEASANTON LN. TO 66' E/ BENJAMIN DR.,2152,57400,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
PLEASANTON LANE,TR 15623,15623,2002-02-05,NORTH LADERA RANCH,CHANTILLY LN. N & S/ TO ENDS,3043,190685,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WAVERLY PLACE,TR 15623,15623,2002-02-05,NORTH LADERA RANCH,CHANTILLY LN. TO END,3465,238570,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
EDENDALE STREET,TR 15624,15624,2003-02-25,NORTH LADERA RANCH,WYNDHAM ST. TO END,2338,80650,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
THORNHILL STREET,TR 15624,15624,2003-02-25,NORTH LADERA RANCH,65' S/O BENJAMIN DR. TO WYNDHAM ST.,3375,234600,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WYNDHAM STREET,TR 15624,15624,2003-02-25,NORTH LADERA RANCH,EDENDALE ST NW'LY & SE'LY TO ENDS,3536,239450,0.230000004,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ARTISAN STREET,TR 15625,15625,2003-02-25,NORTH LADERA RANCH,WINSLOW STREET TO THALIA STREET,1938,19400,0.150000006,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
THALIA STREET,TR 15625,15625,2003-02-25,NORTH LADERA RANCH,ARTISAN ST. N'LY & W'LY TO ENDS,3364,233350,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WINSLOW STREET,TR 15625,15625,2003-02-25,NORTH LADERA RANCH,ARTISAN ST. E'LY & W'LY TO ENDS,3513,239145,0.150000006,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WYETH STREET,TR 15625,15625,2003-02-25,NORTH LADERA RANCH,ARTISAN TO END,3534,239400,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MASON LANE,TR 15626,15626,2004-03-23,NORTH LADERA RANCH,WEDGEWOOD LN. TO WINFIELD DR.,2830,153700,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WEDGEWOOD LANE,TR 15626,15626,2004-03-23,NORTH LADERA RANCH,MASON LN. TO WINFIELD DR.,3586,238583,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WINFIELD DRIVE,TR 15626,15626,2004-03-23,NORTH LADERA RANCH,WEDGEWOOD LN. TO 270' W/ MASON LN.,3511,239155,0.170000002,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ALGERWOOD,TR 15627,15627,2002-04-23,NORTH LADERA RANCH,DAWNWOOD TO END,1860,2950,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DAWNWOOD,TR 15627,15627,2002-04-23,NORTH LADERA RANCH,43' W/ MAYBECK LN. TO END,2287,72716,0.209999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
EARLYWOOD,TR 15627,15627,2002-04-23,NORTH LADERA RANCH,DAWNWOOD TO END,2334,79910,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CALM CREEK CIRCLE,TR 15628,15628,2002-11-05,NORTH LADERA RANCH,DAWNWOOD TO END,2097,46245,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DAWNWOOD,TR 15628,15628,2002-11-05,NORTH LADERA RANCH,40' NE/O  MAYBECK LN. NE TO END,2288,72717,0.180000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WHISPER CIRCLE,TR 15628,15628,2002-11-05,NORTH LADERA RANCH,DAWNWOOD TO END,3492,238805,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BANCROFT STREET,TR 15629,15629,2002-12-10,NORTH LADERA RANCH,WALDEN ST. TO END,1961,23625,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BRAMFORD STREET,TR 15629,15629,2002-12-10,NORTH LADERA RANCH,WALDEN E & W TO ENDS,2040,35175,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WALDEN STREET,TR 15629,15629,2002-12-10,NORTH LADERA RANCH,131' SW'LY/O SIENNA PKWY. TO BRAMFORD ST.,3446,238437,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ASH HOLLOW TRAIL,TR 15630,15630,2002-08-13,NORTH LADERA RANCH,IRON HORSE TRAIL TO HALF MOON TRAIL,1939,19500,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
HALF MOON TRAIL,TR 15630,15630,2002-08-13,NORTH LADERA RANCH,IRON HORSE TRAIL TO ASH HOLLOW TRAIL,2503,107100,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
IRON HORSE TRAIL,TR 15630,15630,2002-08-13,NORTH LADERA RANCH,137' S/O SIENNA PKWY. TO END,2600,117530,0.159999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SKYWOOD STREET,TR 15631,15631,2002-12-10,NORTH LADERA RANCH,117' S'LY AND SE'LY/O SIENNA PKWY.  TO ENDS,3285,221705,0.219999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
COURTNEY CIRCLE,TR 15632,15632,2002-07-16,NORTH LADERA RANCH,MAYBECK LN. TO END,2230,66300,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DANBURY,TR 15632,15632,2002-07-16,NORTH LADERA RANCH,MAYBECK LANE E & W TO ENDS,2277,71800,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MAYBECK LANE,TR 15632,15632,2002-07-16,NORTH LADERA RANCH,77' NW/ COURTNEY CIR. TO DANBURY,2834,154300,0.140000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CROWN VALLEY PARKWAY (S1/2),TR 15813,15813,2003-01-14,NORTH LADERA RANCH,127' W/O  ONEILL DR. TO SIENNA PKWY.,2262,68307,0.74000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FLINTRIDGE AVENUE,TR 15813,15813,2003-01-14,LADERA RANCH,63' W/O SIENNA PKWY. TO 37' NW/O TISBURY WY.,2422,95610,0.379999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FLINTRIDGE AVENUE (N1/2),TR 15813,15813,2003-01-14,LADERA RANCH,SIENNA PARKWAY TO 63'W,2424,95611,0.00999999978,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MAIN STREET,TR 15813,15813,2003-01-14,LADERA RANCH,SIENNA PARKWAY TO 227' E/O WELBE CIR.,2799,148851,0.150000006,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ONEILL DRIVE,TR 15813,15813,2003-01-14,LADERA RANCH,CROWN VALLEY PKWY. TO 46' S/O CECIL PASTURE RD.,2967,175350,0.5,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ROANOKE DRIVE,TR 15813,15813,2003-01-14,LADERA RANCH,ONEILL DR. TO FLINTRIDGE AVE.,3118,201300,0.430000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY  (W1/2),TR 15813,15813,2003-01-14,LADERA RANCH,CROWN VALLEY PKWY. TO FLINTRIDGE AVE.,3251,217677,0.479999989,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WELDON HEIGHTS,TR 15813,15813,2003-01-14,LADERA RANCH,FLINTRIDGE AVENUE TO 33' S/O NEWKIRK RD.,3470,238587,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CECIL PASTURE ROAD,TR 15827,15827,2003-01-14,LADERA RANCH,92' S/O CROWN VALLEY PKWY. TO 73' W/O O'NEILL DR.,2133,54995,0.479999989,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CROWN VALLEY PARKWAY (S1/2),TR 15827,15827,2003-01-14,NORTH LADERA RANCH,282'W/ CECIL PASTURE TO 127'W/ ONEILL,2260,68305,0.340000004,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CROWN VALLEY PARKWAY (S1/2),TR 15884,15884,2003-01-14,NORTH LADERA RANCH,SIENNA PKWY. TO 61' W/O ANTONIO PKWY.,2261,68306,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FIRST STREET,TR 15884,15884,2003-01-14,LADERA RANCH,MAIN STREET TO MERCANTILE WAY,2414,94750,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MAIN STREET,TR 15884,15884,2003-01-14,LADERA RANCH,WINDMILL AVE. TO SIENNA PKWY.,2798,148850,0.379999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MERCANTILE WAY,TR 15884,15884,2003-01-14,LADERA RANCH,SIENNA PARKWAY TO WINDMILL AVENUE,2863,157350,0.379999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SECOND STREET,TR 15884,15884,2003-01-14,LADERA RANCH,SIENNA PARKWAY TO MERCANTILE WAY,3216,213325,0.200000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY,TR 15884,15884,2003-01-14,LADERA RANCH,FLINTRIDGE AVE. TO 89' S/O WINDMILL AVE.,3244,217679,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY (E1/2),TR 15884,15884,2003-01-14,LADERA RANCH,CROWN VALLEY PKWY. TO FLINTRIDGE AVE.,3252,217676,0.479999989,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
THIRD STREET,TR 15884,15884,2003-01-14,LADERA RANCH,MAIN STREET TO MERCANTILE WAY,3368,234050,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WINDMILL AVENUE,TR 15884,15884,2003-01-14,LADERA RANCH,SIENNA PARKWAY TO ANTONIO PARKWAY,3506,239080,0.349999994,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
RESTON WAY,TR 15901,15901,2003-02-04,LADERA RANCH,47' S/O MAIN ST. TO END,3108,198675,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BARNSTABLE WAY,TR 15902,15902,2002-05-14,LADERA RANCH,RESTON WY  E AND W TO ENDS,1964,25300,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
RESTON WAY,TR 15902,15902,2002-05-14,LADERA RANCH,43' NE/O MAIN ST. TO BARNSTABLE WY.,3107,198650,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CHIMNEY LANE,TR 15903,15903,2003-06-17,LADERA RANCH,43' N/O MAIN ST. TO END,2177,60400,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
COTTAGE HILL ROAD,TR 15903,15903,2003-06-17,LADERA RANCH,CHIMNEY LN. TO END,2223,65740,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MAIN STREET,TR 15904,15904,2002-12-10,LADERA RANCH,227' E/O WELBE CIRCLE WEST TO END,2800,148852,0.140000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WELBE CIRCLE,TR 15904,15904,2002-12-10,LADERA RANCH,MAIN ST. TO END,3469,238585,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BENNINGTON PATH,TR 15905,15905,2002-12-10,LADERA RANCH,WELDON HEIGHTS TO END,1984,28060,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
NEWKIRK ROAD,TR 15905,15905,2002-12-10,LADERA RANCH,WELDON HEIGHTS TO END,2907,166600,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SAYBROOKE LANE,TR 15905,15905,2002-12-10,LADERA RANCH,NEWKIRK LN. TO END,3209,211935,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WELDON HEIGHTS,TR 15905,15905,2002-12-10,LADERA RANCH,33' S/O NEWKIRK RD. TO END,3471,238588,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WICKFORD LANE,TR 15905,15905,2002-12-10,LADERA RANCH,WELDON HEIGHTS TO END,3498,238880,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BRYNWOOD LANE,TR 15906,15906,2003-06-17,LADERA RANCH,HEARTHSIDE RD. TO END,2076,40850,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FRANKLIN WAY,TR 15906,15906,2003-06-17,LADERA RANCH,BRYNWOOD LN. TO END,6413,99225,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
HEARTHSIDE ROAD,TR 15906,15906,2003-06-17,LADERA RANCH,39' E/O WELDON HEIGHTS TO END,2530,110445,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
NEWBURY WAY,TR 15906,15906,2003-06-17,LADERA RANCH,FRANKLIN WAY TO END,2905,166250,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MINFORD CIRCLE,TR 15907,15907,2002-12-10,LADERA RANCH,PICKERING CIRCLE TO END,2873,159000,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
PICKERING CIRCLE,TR 15907,15907,2002-12-10,LADERA RANCH,45' N/O FLINTRIDGE AVE. TO END,3035,189350,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CRESTMONT COURT,TR 15908,15908,2004-12-21,LADERA RANCH,LEWISTON CT. TO END,2250,67833,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
