identifierType,identifier,relatedTract,description,sourceId,origin
tract_map_book_page,MM 817/45-47,15914,Recorded tract map for TR 15914,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 819/1-5,16102,Recorded tract map for TR 16102,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 817/1-5,16103,Recorded tract map for TR 16103,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 820/10-15,15908,Recorded tract map for TR 15908,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 820/29-34,15909,Recorded tract map for TR 15909,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 820/21-25,16101,Recorded tract map for TR 16101,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 821/29-34,16127,Recorded tract map for TR 16127,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 821/35-40,16104,Recorded tract map for TR 16104,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 821/41-44,16114,Recorded tract map for TR 16114,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 822/40-43,16120,Recorded tract map for TR 16120,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 823/30-33,16118,Recorded tract map for TR 16118,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 824/15-20,16126,Recorded tract map for TR 16126,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 826/1-3,16117,Recorded tract map for TR 16117,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 824/48-50,16119,Recorded tract map for TR 16119,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 825/46-50,16121,Recorded tract map for TR 16121,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 823/34-38,16122,Recorded tract map for TR 16122,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 825/19-29,16234,Recorded tract map for TR 16234,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 826/8-20,16203,Recorded tract map for TR 16203,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 825/40-45,16115,Recorded tract map for TR 16115,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 825/30-39,16235,Recorded tract map for TR 16235,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 830/35-40,16116,Recorded tract map for TR 16116,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 832/16-19,16247,Recorded tract map for TR 16247,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 832/20-23,16250,Recorded tract map for TR 16250,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 832/24-29,16236,Recorded tract map for TR 16236,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 833/24-27,16242,Recorded tract map for TR 16242,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 834/9-15,16239,Recorded tract map for TR 16239,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 834/22-25,16240,Recorded tract map for TR 16240,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 835/7-11,16245,Recorded tract map for TR 16245,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 835/17-20,16237,Recorded tract map for TR 16237,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 835/21-25,16238,Recorded tract map for TR 16238,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 835/26-33,16249,Recorded tract map for TR 16249,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 835/34-39,16243,Recorded tract map for TR 16243,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 836/40-43,16270,Recorded tract map for TR 16270,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 839/1-18,15987,Recorded tract map for TR 15987,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 839/27-33,16248,Recorded tract map for TR 16248,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 839/24-26,16389,Recorded tract map for TR 16389,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 838/47-50,16414,Recorded tract map for TR 16414,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 840/32-36,16241,Recorded tract map for TR 16241,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 839/34-45,16271,Recorded tract map for TR 16271,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 840/1-20,16341,Recorded tract map for TR 16341,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 842/8-20,15985,Recorded tract map for TR 15985,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 840/47-50,16244,Recorded tract map for TR 16244,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 842/45-49,16246,Recorded tract map for TR 16246,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 847/5-10,16349,Recorded tract map for TR 16349,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 847/1-4,16350,Recorded tract map for TR 16350,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 847/36-39,16342,Recorded tract map for TR 16342,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 848/15-18,16346,Recorded tract map for TR 16346,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 848/23-28,16348,Recorded tract map for TR 16348,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 848/19-22,16354,Recorded tract map for TR 16354,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 849/1-15,15986,Recorded tract map for TR 15986,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 848/44-46,16356,Recorded tract map for TR 16356,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 849/31-39,16347,Recorded tract map for TR 16347,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 850/21-25,16515,Recorded tract map for TR 16515,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 850/28-32,16351,Recorded tract map for TR 16351,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 850/33-37,16352,Recorded tract map for TR 16352,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 852/1-6,16355,Recorded tract map for TR 16355,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 853/16-20,16353,Recorded tract map for TR 16353,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 854/6-16,15988,Recorded tract map for TR 15988,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 854/1-5,16388,Recorded tract map for TR 16388,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 853/47-50,16387,Recorded tract map for TR 16387,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 853/39-42,16384,Recorded tract map for TR 16384,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 853/34-38,16385,Recorded tract map for TR 16385,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 852/45-49,16386,Recorded tract map for TR 16386,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 856/30-34,16390,Recorded tract map for TR 16390,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 856/37-41,16504,Recorded tract map for TR 16504,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 856/42-46,16505,Recorded tract map for TR 16505,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 858/29-44,16586,Recorded tract map for TR 16586,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 859/22-27,16392,Recorded tract map for TR 16392,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 859/33-37,16394,Recorded tract map for TR 16394,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 859/28-32,16400,Recorded tract map for TR 16400,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 859/17-21,16393,Recorded tract map for TR 16393,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 862/1-10,16472,Recorded tract map for TR 16472,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 862/11-20,16473,Recorded tract map for TR 16473,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 862/34-41,15990,Recorded tract map for TR 15990,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 861/36-41,16395,Recorded tract map for TR 16395,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 861/42-49,16471,Recorded tract map for TR 16471,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 861/29-35,16391,Recorded tract map for TR 16391,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 861/25-28,16667,Recorded tract map for TR 16667,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 863/8-14,15989,Recorded tract map for TR 15989,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 865/34-39,16687,Recorded tract map for TR 16687,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
tract_map_book_page,MM 897/28-33,15793,Recorded tract map for TR 15793,LH-SRC-OC-TRACTS,data/development/tract_maps.csv
board_resolution_or_other_road_source,RES. NO.01-105,,Road-index source for CROWN VALLEY PARKWAY,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,OC road index (Mission 6 capture)
board_resolution_or_other_road_source,ROS 98-1014,,Road-index source for ANTONIO PARKWAY,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,OC road index (Mission 6 capture)
repository_source_id,LH-SRC-OC-PC,,Ladera Planned Community Program,LH-SRC-OC-PC,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-MAP,,Ladera Ranch Planned Community Map,LH-SRC-OC-MAP,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-DA,,Ladera Ranch Development Agreement,LH-SRC-OC-DA,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-ADS,,Ladera Ranch Alternative Development Standards Version 4,LH-SRC-OC-ADS,research/development_chronology/sources.csv
repository_source_id,LH-SRC-CENSUS-CDP,,Ladera Ranch Census Designated Place boundary,LH-SRC-CENSUS-CDP,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-TRACTS,,Orange County Tract Maps GIS service,LH-SRC-OC-TRACTS,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-IMAGERY,,Orange County Historical Aerial Imagery v2,LH-SRC-OC-IMAGERY,research/development_chronology/sources.csv
repository_source_id,LH-SRC-CEQANET-UTILITIES,,Phase 1 Ladera Development Area,LH-SRC-CEQANET-UTILITIES,research/development_chronology/sources.csv
repository_source_id,LH-SRC-RMV-PLANNING,,Responsible Planning,LH-SRC-RMV-PLANNING,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-TIMELINE,,Explore Ladera Ranch - Ladera Ranch through the years,LH-SRC-LARMAC-TIMELINE,research/development_chronology/sources.csv
repository_source_id,LH-SRC-ULI-CASE,,Ladera Ranch case study,LH-SRC-ULI-CASE,research/development_chronology/sources.csv
repository_source_id,LH-SRC-CUSD-CHAPARRAL,,2022 School Accountability Report Card - Chaparral Elementary School,LH-SRC-CUSD-CHAPARRAL,research/development_chronology/sources.csv
repository_source_id,LH-SRC-CUSD-LRES,,2022 School Accountability Report Card - Ladera Ranch Elementary School,LH-SRC-CUSD-LRES,research/development_chronology/sources.csv
repository_source_id,LH-SRC-CUSD-LRMS,,2022 School Accountability Report Card - Ladera Ranch Middle School,LH-SRC-CUSD-LRMS,research/development_chronology/sources.csv
repository_source_id,LH-SRC-CDE-OSO,,Oso Grande Elementary School Directory Details,LH-SRC-CDE-OSO,research/development_chronology/sources.csv
repository_source_id,LH-SRC-NWS-ELTORO,,El Toro climate summary,LH-SRC-NWS-ELTORO,research/development_chronology/sources.csv
repository_source_id,LH-SRC-NWS-SANTA-ANA,,Mountain and Valley Winds - Santa Ana Winds,LH-SRC-NWS-SANTA-ANA,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OSM-SCHOOLS,,OpenStreetMap building centroids for Ladera Ranch schools,LH-SRC-OSM-SCHOOLS,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-EIR-CERT,,PA180010 Zoning Administrator Record,LH-SRC-OC-EIR-CERT,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-LMS-TRACT-PDFS,,Orange County recorded tract-map PDF collection,LH-SRC-OC-LMS-TRACT-PDFS,research/development_chronology/sources.csv
repository_source_id,LH-SRC-NOAA-ISD-HISTORY,,Integrated Surface Database station history,LH-SRC-NOAA-ISD-HISTORY,research/development_chronology/sources.csv
repository_source_id,LH-SRC-NOAA-GLOBAL-HOURLY,,Global Hourly integrated surface observations,LH-SRC-NOAA-GLOBAL-HOURLY,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-DEM-2018,,Orange County 2018 one-meter digital elevation model,LH-SRC-OC-DEM-2018,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-WATERSHEDS,,Orange County watershed boundaries,LH-SRC-OC-WATERSHEDS,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-STREAMS-2016,,South Orange County stream centerlines,LH-SRC-OC-STREAMS-2016,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-FLOOD-CHANNELS,,Orange County flood channels and as-built drawing inventory,LH-SRC-OC-FLOOD-CHANNELS,research/development_chronology/sources.csv
repository_source_id,LH-SRC-DGS-DSA-TRACKER,,DSA eTracker school construction project records,LH-SRC-DGS-DSA-TRACKER,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-BOND-2006Q4,,"Orange County Bond Monitoring Program, Fourth Quarter 2006",LH-SRC-OC-BOND-2006Q4,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-BOND-2011Q4,,"Orange County Bond Monitoring Program, Fourth Quarter 2011",LH-SRC-OC-BOND-2011Q4,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-CFD-HISTORY,,Orange County Community Facilities District Resolution History,LH-SRC-OC-CFD-HISTORY,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-LADR-2018,,Local Agency Special Tax and Bond Accountability Report 2018,LH-SRC-OC-LADR-2018,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-STREETS-2019,,LaderaLife Street and Neighborhood List,LH-SRC-LARMAC-STREETS-2019,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-CUSTOM-2006,,"Covenant Hills Custom Home Design Guidelines, Chapter 1",LH-SRC-LARMAC-CUSTOM-2006,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-TRANSPORT-2008,,Ladera Ranch Transportation Survey Packet,LH-SRC-OC-TRANSPORT-2008,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-RW-2019W,,"Roots and Wings, Winter 2019",LH-SRC-LARMAC-RW-2019W,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-RW-2020S,,"Roots and Wings, Spring 2020",LH-SRC-LARMAC-RW-2020S,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-TIMELINE-M5,,Explore Ladera Ranch: Ladera Ranch Through the Years,LH-SRC-LARMAC-TIMELINE-M5,research/development_chronology/sources.csv
repository_source_id,LH-SRC-PROB-TRAILS-1999,,Happy Trails at Ladera Ranch,LH-SRC-PROB-TRAILS-1999,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LAT-BUILDERS-1998,,"Builders Chosen for Start of 8,100-Home Project",LH-SRC-LAT-BUILDERS-1998,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LAT-PHASE1-1999,,Ladera Ranch Developer Picks Phase I Builders,LH-SRC-LAT-PHASE1-1999,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LAT-OPENING-1999,,"Small-Town Feel, Big-Time Crowds",LH-SRC-LAT-OPENING-1999,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LAT-FIRST-RESIDENT-1999,,New Kids on Every Block,LH-SRC-LAT-FIRST-RESIDENT-1999,research/development_chronology/sources.csv
repository_source_id,LH-SRC-ACTIVERAIN-2010,,"Ladera Ranch Village Information, Tract Name, Housing Type, Homes and Builder",LH-SRC-ACTIVERAIN-2010,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-VILLAGE-1,,LaderaLife village directory: Oak Knoll Village,LH-SRC-LARMAC-VILLAGE-1,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-VILLAGE-2,,LaderaLife village directory: Flintridge Village,LH-SRC-LARMAC-VILLAGE-2,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-VILLAGE-3,,LaderaLife village directory: Township District,LH-SRC-LARMAC-VILLAGE-3,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-VILLAGE-4,,LaderaLife village directory: Avendale Village,LH-SRC-LARMAC-VILLAGE-4,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-VILLAGE-5,,LaderaLife village directory: Covenant Hills Village,LH-SRC-LARMAC-VILLAGE-5,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-VILLAGE-6,,LaderaLife village directory: Terramor Village,LH-SRC-LARMAC-VILLAGE-6,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-VILLAGE-7,,LaderaLife village directory: Echo Ridge Village,LH-SRC-LARMAC-VILLAGE-7,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-VILLAGE-8,,LaderaLife village directory: Wycliffe District,LH-SRC-LARMAC-VILLAGE-8,research/development_chronology/sources.csv
repository_source_id,LH-SRC-LARMAC-VILLAGE-9,,LaderaLife village directory: Bridgepark District,LH-SRC-LARMAC-VILLAGE-9,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-ADDRESS-POINTS,,Orange County Final Planning Address Points,LH-SRC-OC-ADDRESS-POINTS,research/development_chronology/sources.csv
repository_source_id,LH-SRC-OC-STREET-CENTERLINES,,Orange County Street Centerlines with Labels,LH-SRC-OC-STREET-CENTERLINES,research/development_chronology/sources.csv
repository_source_id,LH-SRC-CDFW-NAIP-2005,,California NAIP 2005 natural-color aerial imagery,LH-SRC-CDFW-NAIP-2005,research/development_chronology/sources.csv
repository_source_id,LH-SRC-CDFW-NAIP-2009,,California NAIP 2009 natural-color aerial imagery,LH-SRC-CDFW-NAIP-2009,research/development_chronology/sources.csv
repository_source_id,LH-SRC-CDFW-NAIP-2010,,California NAIP 2010 natural-color aerial imagery,LH-SRC-CDFW-NAIP-2010,research/development_chronology/sources.csv
