archiveStatus,bytes,checksumSha256,error,isOfficial,isPrimary,localFilePath,path,publicationDate,publisher,recordCount,reliabilityGrade,retrievalDate,sourceId,sourceType,title,url
retrieved,281524,eeada8538941af358a696bb44d4aa205ee60b4822f6cad344f6198408bd518eb,,false,false,evidence/lhdrs/mission5/html/probuilder_happy_trails_1999.html,html/probuilder_happy_trails_1999.html,1999-11-03,Professional Builder,,B1,2026-07-27,LH-SRC-PROB-TRAILS-1999,contemporary_trade_publication,Happy Trails at Ladera Ranch,https://www.probuilder.com/sales-marketing/article/55196745/happy-trails-at-ladera-ranch
retrieved,415051,2df14be5530e661aafbe1e4d66f779c04394ba2b2b2b4fa3a5529ad13668059a,,false,false,evidence/lhdrs/mission5/html/latimes_builders_1998.html,html/latimes_builders_1998.html,1998-01-20,Los Angeles Times,,B1,2026-07-27,LH-SRC-LAT-BUILDERS-1998,contemporary_newspaper,"Builders Chosen for Start of 8,100-Home Project",https://www.latimes.com/archives/la-xpm-1998-jan-20-fi-10079-story.html
retrieved,412727,092060037b062a6c714fda54754b9120ec3b71d030d082e5c69c31ad361bef86,,false,false,evidence/lhdrs/mission5/html/latimes_phase1_builders_1999.html,html/latimes_phase1_builders_1999.html,1999-05-04,Los Angeles Times,,B1,2026-07-27,LH-SRC-LAT-PHASE1-1999,contemporary_newspaper,Ladera Ranch Developer Picks Phase I Builders,https://www.latimes.com/archives/la-xpm-1999-may-04-fi-33910-story.html
retrieved,424261,0ffc4a965270e24be8e231e4852d8b6b1200080705c82bb47922e967d27bcc30,,false,false,evidence/lhdrs/mission5/html/latimes_grand_opening_1999.html,html/latimes_grand_opening_1999.html,1999-08-01,Los Angeles Times,,B1,2026-07-27,LH-SRC-LAT-OPENING-1999,contemporary_newspaper,"Small-Town Feel, Big-Time Crowds",https://www.latimes.com/archives/la-xpm-1999-aug-01-me-61604-story.html
retrieved,431553,41e24df90699c539780b99dd95d0694aab479ac5d9447fd9b2ae4392ae2f3919,,false,false,evidence/lhdrs/mission5/html/latimes_first_residents_1999.html,html/latimes_first_residents_1999.html,1999-12-12,Los Angeles Times,,B1,2026-07-27,LH-SRC-LAT-FIRST-RESIDENT-1999,contemporary_newspaper,New Kids on Every Block,https://www.latimes.com/archives/la-xpm-1999-dec-12-me-43197-story.html
retrieved,61684,3f333956178d1303aedcf4b613e99726cd0a26720f38192b8eec665e5a2ffa05,,false,false,evidence/lhdrs/mission5/html/activerain_builder_crosswalk_2010.html,html/activerain_builder_crosswalk_2010.html,2010-07-13,ActiveRain,,C,2026-07-27,LH-SRC-ACTIVERAIN-2010,secondary_real_estate_directory,"Ladera Ranch Village Information, Tract Name, Housing Type, Homes and Builder",https://activerain.com/blogsview/1743192/ladera-ranch-village-information---tract-name---housing-type-----of-homes---builder
retrieved,51722,d0a5b217a9aea68206d882e43941120d4bc2c590315d9b16d36c7bf7cded2d62,,true,true,evidence/lhdrs/mission5/html/laderalife_village_1_oak-knoll-village.html,html/laderalife_village_1_oak-knoll-village.html,,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-VILLAGE-1,official_community_directory,LaderaLife village directory: Oak Knoll Village,https://laderalife.com/villages/oak-knoll-village
retrieved,53992,4f88dd8a49508a3ace7bf4cb3add54a901303e0f67eca967bb75d98230a9c8cb,,true,true,evidence/lhdrs/mission5/html/laderalife_village_2_flintridge-village.html,html/laderalife_village_2_flintridge-village.html,,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-VILLAGE-2,official_community_directory,LaderaLife village directory: Flintridge Village,https://laderalife.com/villages/flintridge-village
retrieved,48975,b9c9c098c9749288ab4883f776ad080e5c0c653374bd127d79bfbde0f090e17d,,true,true,evidence/lhdrs/mission5/html/laderalife_village_3_township-district.html,html/laderalife_village_3_township-district.html,,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-VILLAGE-3,official_community_directory,LaderaLife village directory: Township District,https://laderalife.com/villages/township-district
retrieved,52850,408182343fb0bda50185bbdd4940a8618db95eec09a7205a9aa8b8de01edcc13,,true,true,evidence/lhdrs/mission5/html/laderalife_village_4_avendale-village.html,html/laderalife_village_4_avendale-village.html,,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-VILLAGE-4,official_community_directory,LaderaLife village directory: Avendale Village,https://laderalife.com/villages/avendale-village
retrieved,52115,c9554106a743120aa714fcbeaedeabff45e97a52a716be325db76d4f1435bc4f,,true,true,evidence/lhdrs/mission5/html/laderalife_village_5_covenant-hills-village.html,html/laderalife_village_5_covenant-hills-village.html,,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-VILLAGE-5,official_community_directory,LaderaLife village directory: Covenant Hills Village,https://laderalife.com/villages/covenant-hills-village
retrieved,51959,2587032dbf5f8b180f7872c5d34b0e965ad8f9da64c0c49e69e2b542bf0acc0f,,true,true,evidence/lhdrs/mission5/html/laderalife_village_6_terramor-village.html,html/laderalife_village_6_terramor-village.html,,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-VILLAGE-6,official_community_directory,LaderaLife village directory: Terramor Village,https://laderalife.com/villages/terramor-village
retrieved,48956,c804ca8618a71e6da3ae89bee1d17211b7a659c37fb88c5c5f8c45c9050b9ddc,,true,true,evidence/lhdrs/mission5/html/laderalife_village_7_echo-ridge-village.html,html/laderalife_village_7_echo-ridge-village.html,,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-VILLAGE-7,official_community_directory,LaderaLife village directory: Echo Ridge Village,https://laderalife.com/villages/echo-ridge-village
retrieved,55087,588460d7973090d08ade9f769b3538a6e004cfedb3ac358dd7cf237d9656ae70,,true,true,evidence/lhdrs/mission5/html/laderalife_village_8_wycliffe-district.html,html/laderalife_village_8_wycliffe-district.html,,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-VILLAGE-8,official_community_directory,LaderaLife village directory: Wycliffe District,https://laderalife.com/villages/wycliffe-district
retrieved,56781,89abd95c7718b23e6f3413586dcc4ac8a0f103e3567fc49caf3bde505d5fb8af,,true,true,evidence/lhdrs/mission5/html/laderalife_village_9_bridgepark-district.html,html/laderalife_village_9_bridgepark-district.html,,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-VILLAGE-9,official_community_directory,LaderaLife village directory: Bridgepark District,https://laderalife.com/villages/bridgepark-district
retrieved,18247138,23b28d6b548e64a2e8e97cc8a388de088007dc8de40154dc206c121be78d609e,,true,true,evidence/lhdrs/mission5/gis/oc_address_points_ladera.json,gis/oc_address_points_ladera.json,,County of Orange,20253,A2,2026-07-27,LH-SRC-OC-ADDRESS-POINTS,official_current_gis_layer,Orange County Final Planning Address Points,https://ocgis.com/arcpub/rest/services/Map_Layers/Address_Point_Final_Planning_Addressing/FeatureServer/0
retrieved,5204607,71e3af4ff29d3afaa8e5a973f0b4ddc79b195e8f71e0f2eea7bdee3db40af75b,,true,true,evidence/lhdrs/mission5/gis/oc_street_centerlines_ladera.json,gis/oc_street_centerlines_ladera.json,,County of Orange,6366,A2,2026-07-27,LH-SRC-OC-STREET-CENTERLINES,official_current_gis_layer,Orange County Street Centerlines with Labels,https://ocgis.com/arcpub/rest/services/Map_Layers/Street_Centerlines_With_Labels/FeatureServer/2
retrieved,5496985,5fcee243aa5dde4123903fc9a0a3341511abcbcf88ded17bd94749e4d2bcbb3e,,true,true,evidence/lhdrs/mission5/imagery/ladera_naip_2005.jpg,imagery/ladera_naip_2005.jpg,2005,California Department of Fish and Wildlife / USDA FSA,4,A1,2026-07-27,LH-SRC-CDFW-NAIP-2005,official_aerial_imagery,California NAIP 2005 natural-color aerial imagery,https://gis.wildlife.ca.gov/images/rest/services/Base_Remote_Sensing/NAIP_2005/ImageServer
retrieved,5573946,f3c65cc9e3947f39c03734078172a21ac7fc4c0df21aa7027256c621249074f7,,true,true,evidence/lhdrs/mission5/imagery/ladera_naip_2009.jpg,imagery/ladera_naip_2009.jpg,2009,California Department of Fish and Wildlife / USDA FSA,4,A1,2026-07-27,LH-SRC-CDFW-NAIP-2009,official_aerial_imagery,California NAIP 2009 natural-color aerial imagery,https://gis.wildlife.ca.gov/images/rest/services/Base_Remote_Sensing/NAIP_2009/ImageServer
retrieved,6516056,835931ef8fb8316aec58aa1cfcda2ef9a17319c235ed64aa361d0bc0e3723f28,,true,true,evidence/lhdrs/mission5/imagery/ladera_naip_2010.jpg,imagery/ladera_naip_2010.jpg,2010,California Department of Fish and Wildlife / USDA FSA,4,A1,2026-07-27,LH-SRC-CDFW-NAIP-2010,official_aerial_imagery,California NAIP 2010 natural-color aerial imagery,https://gis.wildlife.ca.gov/images/rest/services/Base_Remote_Sensing/NAIP_2010/ImageServer
