characterCount,error,extractionDate,inputFile,limitations,method,ocrUsed,outputChecksumSha256,outputFile,pageCount,sourceId,status
7617,,2026-07-27,evidence/lhdrs/mission5/html/activerain_builder_crosswalk_2010.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,439bfe21471c41fd423a27d746ccf7698bf1503babaa77c298b836c16962e5a6,evidence/lhdrs/mission5/text/activerain_builder_crosswalk_2010.txt,0,LH-SRC-ACTIVERAIN-2010,extracted
5143,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_village_1_oak-knoll-village.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,3dc27c82b47832a778b37c78f2f4e74d1675b964693dd9e52cdf86dfbd7ef452,evidence/lhdrs/mission5/text/laderalife_village_1_oak-knoll-village.txt,0,LH-SRC-LARMAC-VILLAGE-1,extracted
5105,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_village_2_flintridge-village.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,3a41ee1c94d23bb50a61b0aa6f16a75a79e68dd3790e6fab3a7adde62833f44f,evidence/lhdrs/mission5/text/laderalife_village_2_flintridge-village.txt,0,LH-SRC-LARMAC-VILLAGE-2,extracted
4743,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_village_3_township-district.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,7b417517daff91e27ae76c82b1b5cbc6ad24f572bf370d0e14ee1c254cbab8aa,evidence/lhdrs/mission5/text/laderalife_village_3_township-district.txt,0,LH-SRC-LARMAC-VILLAGE-3,extracted
5723,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_village_4_avendale-village.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,467c6f1310d182d1363f839274fb65b5bfc191c0ee1739a697323e795dcbc15c,evidence/lhdrs/mission5/text/laderalife_village_4_avendale-village.txt,0,LH-SRC-LARMAC-VILLAGE-4,extracted
5552,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_village_5_covenant-hills-village.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,854942d75f7f898c41d4b247e1ca79751087562487b21e3c39428bb92203b38a,evidence/lhdrs/mission5/text/laderalife_village_5_covenant-hills-village.txt,0,LH-SRC-LARMAC-VILLAGE-5,extracted
5471,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_village_6_terramor-village.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,ba2c961f52f49e3e2bb64156627cc03cb2888ef02edb3353080f58388cb31874,evidence/lhdrs/mission5/text/laderalife_village_6_terramor-village.txt,0,LH-SRC-LARMAC-VILLAGE-6,extracted
4994,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_village_7_echo-ridge-village.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,a00152948431f4f2858a69d25850bd5d73a8d5aac4af20fb73b4847f08b90237,evidence/lhdrs/mission5/text/laderalife_village_7_echo-ridge-village.txt,0,LH-SRC-LARMAC-VILLAGE-7,extracted
4834,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_village_8_wycliffe-district.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,8977aba84be8b8d9b2445ab607cf33367cd762964a725f916d903d819bf2bea3,evidence/lhdrs/mission5/text/laderalife_village_8_wycliffe-district.txt,0,LH-SRC-LARMAC-VILLAGE-8,extracted
4612,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_village_9_bridgepark-district.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,d920d572e2e6e6188fb45c3a9f665eb242164e59aa733da5eabe514e029b0d2f,evidence/lhdrs/mission5/text/laderalife_village_9_bridgepark-district.txt,0,LH-SRC-LARMAC-VILLAGE-9,extracted
