id,title,publisher,author,url,publicationDate,retrievalDate,sourceType,geographicCoverage,timeCoverage,isOfficial,isPrimary,isPeerReviewed,dataFormat,reliabilityGrade,knownLimitations,notes
SRC-NEWS-007,"Second rare cancer strain emerges as SoCal cluster grows","Yahoo/California Post","Zain Khan",https://www.yahoo.com/news/science/articles/second-rare-cancer-strain-emerges-184921922.html,2026-07-16,2026-07-18,news,"South Orange County, CA",2013-2026,false,false,false,HTML,C,"Single-source higher count; uncorroborated","Claims '12 cases of Ewing sarcoma' — outlier not corroborated by NBC or agencies"
SRC-NEWS-008,"California Enclave Halts Pesticide Use as Feds Launch Investigation","The Epoch Times","Beige Luciano-Adams",https://www.theepochtimes.com/us/california-enclave-halts-pesticide-use-as-feds-launch-investigation-into-cancer-cases-6063853,2026-07-17,2026-07-18,news,"Ladera Ranch, CA",2026,false,false,false,HTML,C,"Partisan-leaning but did original reporting; direct LARMAC quote","Names chemicals Attrimec and Lifeline; resident John Gresko quoted"
SRC-NEWS-010,"1 Teen Dies, 5 Other Kids Sickened in Rare Cancer Cluster","AOL/People syndication","",https://www.aol.com/articles/1-teen-dies-5-other-131500000.html,2026-07-15,2026-07-18,news,"Ladera Ranch, CA",2013-2026,false,false,false,HTML,C,"Aggregated","Frames count as 1 death + 5 others = 6 total Ewing"
SRC-ADV-001,"6 Children in 1 Town Developed Rare Cancer (glufosinate framing)","Children's Health Defense / The Defender","Michael Nevradakis",https://childrenshealthdefense.org/defender/6-children-ladera-ranch-rare-cancer-brody-matteson-death-pesticides-glufosinate/,2026-07-17,2026-07-18,advocacy,"Ladera Ranch, CA",2013-2026,false,false,false,HTML,C,"Anti-pesticide/anti-vaccine advocacy; main site 403, read via substack mirror","Origin of prominent glufosinate framing; attributes 17-pesticide claim to attorney via NY Post"
SRC-ADV-002,"Six Children in One Small Town Developed the Same Rare Cancer","Vigilant Fox (Substack)","",https://www.vigilantfox.com/p/six-children-in-one-small-town-developed,2026-07-16,2026-07-18,advocacy,"Ladera Ranch, CA",2013-2026,false,false,false,HTML,C,"Amplification; no independent sourcing",""
SRC-ADV-003,"'Unusual Cluster' of Rare Child Cancer Cases Triggers Calls","The Western Journal","",https://www.westernjournal.com/unusual-cluster-rare-child-cancer-cases-triggers-calls-investigation/,2026-07-17,2026-07-18,news,"Ladera Ranch, CA",2026,false,false,false,HTML,C,"Hyperpartisan aggregation",""
SRC-ADV-004,"Furious Parents Demand Answers","TRUTH Press","",https://truthpress.com/news/furious-parents-demand-answers-as-devastating-childhood-cancer-cluster-plagues-wealthy-california-town/,2026-07-15,2026-07-18,news,"Ladera Ranch, CA",2026,false,false,false,HTML,D,"Emotive hyperpartisan aggregation; unreliable",""
SRC-ADV-005,"Investigation launched (OANN repost)","Minuteman Militia","",https://minuteman-militia.com/2026/07/14/investigation-launched-into-extremely-rare-cancer-striking-children-in-socal-community-one-america-news-network/,2026-07-14,2026-07-18,news,"Orange County, CA",2026,false,false,false,HTML,D,"Verbatim repost of OANN",""
SRC-ADV-006,"Petition: Ban Toxic Pesticides in Ladera Ranch","Change.org","",https://www.change.org/p/protect-our-community-ban-toxic-pesticides-in-ladera-ranch,2026-07-15,2026-07-18,social,"Ladera Ranch, CA",2026,false,false,false,HTML,C,"Resident advocacy; unverified counts","Petition"
SRC-NEWS-009,"Investigation launched (OANN newsroom)","One America News Network","",https://www.oann.com/newsroom/calif-investigation-launched-into-extremely-rare-cancer-striking-children-in-socal-community/,2026-07-14,2026-07-18,news,"Orange County, CA",2026,false,false,false,HTML,C,"Hyperpartisan; reprints agency/attorney material",""
SRC-WS-001,"SMWD Consumer Confidence Reports 2016-2026","Santa Margarita Water District","",https://www.smwd.com/276/Water-Quality-Reports,2026-06-01,2026-07-18,report,"South Orange County, CA",2015-2025,true,true,false,PDF,A2,"CCR reports prior-year data; recycled water not covered","Annual drinking-water quality; no chemical MCL violations"
SRC-WS-002,"SMWD Recycled Water Program","Santa Margarita Water District","",https://www.smwd.com/185/Recycled-Water,2026-01-01,2026-07-18,webpage,"South Orange County, CA",2024-2025,true,true,false,HTML,A2,"Constituent line-item data not public","Tertiary Title 22; Chiquita WRP; ~25% of demand"
SRC-WS-003,"San Juan Creek Watershed Factsheet / SWAMP ambient monitoring","H2OC / OC Public Works; SCCWRP SWAMP","",https://www.ocwatersheds.com/,2024-01-01,2026-07-18,report,"San Juan Creek Watershed, CA",2003-2024,true,true,false,HTML,A1,"Ambient creek data, not drinking water","DDE exceeded CA Toxics Rule in lower San Juan Creek (2/4 samples, 2003)"
SRC-WS-004,"CA Drinking Water Watch / SDWIS — PWS CA3010101","State Water Resources Control Board","",https://sdwis.waterboards.ca.gov/PDWW/,2023-01-01,2026-07-18,dataset,"California",2011-2023,true,true,false,HTML,A1,"","Violation history; population served 168289"
SRC-DEM-001,"Decennial Census 2010 & 2020 — Ladera Ranch CDP","US Census Bureau","",https://data.census.gov/,2021-08-01,2026-07-18,dataset,"Ladera Ranch CDP (FIPS 0639114)",2010-2020,true,true,false,API,A1,"Age-band detail limited pre-2020","Total pop 22980 (2010), 26170 (2020)"
SRC-DEM-002,"ACS 2020-2024 5-year — Ladera Ranch CDP (via Census Reporter)","US Census Bureau / Census Reporter","",https://censusreporter.org/profiles/16000US0639114-ladera-ranch-ca/,2025-01-01,2026-07-18,dataset,"Ladera Ranch CDP (FIPS 0639114)",2020-2024,true,true,false,API,A1,"5-yr smoothed estimates with margins of error","Pop 0-19 = 9115; White NH 63.6%; tables B01001/B03002/B25001"
SRC-DEM-003,"California pediatric cancer incidence","kidsdata.org (Lucile Packard Foundation) / CCR","",https://www.kidsdata.org/,2019-01-01,2026-07-18,report,"California",2000-2016,false,false,false,HTML,B1,"State-level, not sub-county","All pediatric cancer 0-19: 18.2 per 100000 (2012-2016)"
SRC-LIT-003,"Spector LG et al. Comparative international incidence of Ewing sarcoma 1988-2012. Int J Cancer 2021.","International Journal of Cancer","Spector LG, Hubbard AK, Diessner BJ, et al.",https://doi.org/10.1002/ijc.33674,2021-05-01,2026-07-18,literature,"International",1988-2012,false,true,true,HTML,A1,"","Establishes ancestry differential and baseline rates; PMID 33961701"
SRC-LIT-006,"Ewing Sarcoma. StatPearls. NCBI Bookshelf NBK559183.","StatPearls / NCBI","",https://www.ncbi.nlm.nih.gov/books/NBK559183/,2023-01-01,2026-07-18,literature,"US",,false,false,true,HTML,B1,"Tertiary textbook source","US incidence 2.93/million; peak 10-15; M:F 3:1; t(11;22) ~85%"
SRC-METH-001,"Investigating Suspected Cancer Clusters — CDC/CSTE Guidelines. MMWR 2013;62(RR-08).","CDC / MMWR","",https://www.cdc.gov/mmwr/preview/mmwrhtml/rr6208a1.htm,2013-09-27,2026-07-18,report,"US",2013,true,true,true,HTML,A1,"Full text fetch blocked (403); details from summaries","Governs cluster investigation; SIR method; most clusters find no cause"
SRC-LARMAC-NOTICE,"Notice of Pesticide Application (O'Connell Landscape) — Lifeline/glufosinate","LARMAC / O'Connell Landscape Maintenance","",https://www.laderalife.com/upload/ProjectsCategory/Documents/,2023-12-05,2026-07-18,filing,"Ladera Ranch common areas",2023-2025,false,true,false,PDF,A2,"Reporting-unit (SBA) not per-parcel","PRIMARY SOURCE: documents Lifeline (glufosinate, EPA Reg 70506-310) applied to common-area SBA zones"
SRC-LARMAC-LANDSCAPE,"LARMAC Landscape / pest management page","LARMAC (laderalife.com)","",https://www.laderalife.com/,2026-01-01,2026-07-18,webpage,"Ladera Ranch",2026,false,true,false,HTML,A2,"","Confirms LARMAC contracts O'Connell for landscape incl. weed/pest management"
SRC-PEST-PPDB,"Pesticide Properties Database (PPDB)","University of Hertfordshire","",https://sitem.herts.ac.uk/aeru/ppdb/,2024-01-01,2026-07-18,dataset,"International",current,false,true,true,HTML,B1,"Compiled fate values","Environmental fate/half-life/Koc/solubility for active ingredients"
SRC-PEST-EPA,"EPA Pesticide Product & Label System (PPLS) / PPIS","US EPA","",https://ordspub.epa.gov/ords/pesticides/f?p=PPLS:1,2026-01-01,2026-07-18,dataset,"US",current,true,true,false,API,A1,"","Product/label/registration lookup; JSON API no key"
SRC-PEST-DPR,"CA DPR Pesticide Use Reporting (PUR) archives + CalPIP","CA Department of Pesticide Regulation","",https://files.cdpr.ca.gov/pub/outgoing/pur_archives/,2024-01-01,2026-07-18,dataset,"California",1974-2023,true,true,false,ZIP,A1,"Under-captures urban landscape/structural/home use","COMTRS-granular; county_cd=30 Orange; bulk downloadable"
SRC-ENV-ENVIROSTOR,"DTSC EnviroStor public feature service","CA DTSC","",https://www.envirostor.dtsc.ca.gov/,2026-07-18,2026-07-18,dataset,"South Orange County, CA",current,true,true,false,API,A1,"Individual profile pages 403 to fetch","29 sites queried in ~10-mi box; real coordinates/contaminants"
SRC-ENV-CALGEM,"CalGEM WellSTAR oil & gas well database","CA Geologic Energy Management Division","",https://www.conservation.ca.gov/calgem,2026-07-18,2026-07-18,dataset,"South Orange County, CA",current,true,true,false,API,A1,"","13 wells in 10-mi box, all plugged dry holes or idle; real coordinates"
SRC-ENV-PRIMA,"Prima Deshecha Landfill (SWIS 30-AB-0019)","OC Waste & Recycling / San Diego RWQCB","",https://oclandfills.com/,2026-01-01,2026-07-18,report,"San Juan Capistrano, CA",1976-2026,true,true,false,HTML,A1,"Older-cell liner status unconfirmed","Class III MSW landfill ~3.5 mi S; Draft SEIR Jan 2026"
SRC-ENV-ELTORO,"El Toro MCAS Superfund site","US EPA / DTSC","",https://www.epa.gov/superfund,2026-01-01,2026-07-18,report,"Irvine/Lake Forest, CA",current,true,true,false,HTML,A2,"","TCE plume; ~9 mi NNW; not toward Ladera"
SRC-ENV-CTS,"Capistrano Test Site (former TRW/Northrop)","CLUI / reporting","",https://clui.org/,2020-01-01,2026-07-18,report,"South Orange County, CA",,false,false,false,HTML,C,"Site-specific sampling not verified; envirostor 403","Suspected perchlorate/NDMA by analogy + EPA hazmat fine"
SRC-LU-RMV,"Rancho Mission Viejo history","Rancho Mission Viejo (developer)","",https://ranchomissionviejo.com/land-2/history,2024-01-01,2026-07-18,webpage,"South Orange County, CA","pre-1769-present",false,false,false,HTML,C,"Developer-authored","O'Neill/Flood ranch history; cattle, wheat, row crops"
SRC-LU-ESA,"Phase I ESAs, RMV Planning Areas 1-8 (EEI 2003/2004)","EEI (consultant for RMV)","",https://pwds.oc.gov/,2004-02-01,2026-07-18,report,"Rancho Mission Viejo, CA",1952-2002,false,true,false,PDF,B1,"Did NOT test soil for organochlorine/arsenical residues","Primary consultant report; ag history from aerials/interviews"
SRC-LU-ULI,"Ladera Ranch case study","Urban Land Institute","",https://casestudies.uli.org/ladera-ranch,2010-01-01,2026-07-18,report,"Ladera Ranch, CA",1999-2010,false,false,false,HTML,B2,"","Build-out timeline; 9 villages ~8100 homes"
SRC-CUSD-IPM,"Capistrano USD IPM Plan & pesticide notification","Capistrano Unified School District","",https://capousd.org/,2026-01-01,2026-07-18,webpage,"South Orange County, CA",current,true,true,false,HTML,A2,"School-level HSA data not publicly queryable","Serves Ladera Ranch schools"
SRC-LIT-001,"Clark CJ et al. Residential proximity to oil/gas development and childhood Ewing sarcoma in California. Environ Health 2026;25:12.","Environmental Health","Clark CJ, Johnson N, Wang R, et al.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12888232/,2026-01-01,2026-07-18,literature,"California",1988-2015,false,true,true,HTML,A1,"","558 cases; null active wells, suggestive abandoned wells (Hispanic); PMID 41535920"
SRC-CUSD-IPMPLAN,"Capistrano USD Integrated Pest Management Plan (PDF)","Capistrano Unified School District","",https://www.capousd.org/documents//Departments/Maintenance--Operations/Grounds-Department/6517310525694178703.pdf,2024-01-01,2026-07-18,filing,"South Orange County, CA",current,true,true,false,PDF,A2,"Contains no product names or application records","PRIMARY SOURCE retrieved and text-extracted; IPM statement, team structure, contracting policy; covers structural AND landscape pests"
SRC-CUSD-NOTICES,"Capistrano USD Notices & Resources (pesticide notification)","Capistrano Unified School District","",https://www.capousd.org/Departments/Business--and-Support-Services/Maintenance-and-Operations/Notices--Resources/index.html,2026-01-01,2026-07-18,webpage,"South Orange County, CA",current,true,true,false,HTML,A2,"Annual Pesticide Notification and Product List link requires Google sign-in; NOT retrievable","Publicly links product list; offers 72-hour advance application notification registration"
SRC-CCR-METHOD,"California Cancer Registry cluster evaluation methodology (as reported)","California Cancer Registry / CDPH via news reporting","",https://www.yahoo.com/news/us/articles/investigation-launched-extremely-rare-cancer-204008810.html,2026-07-14,2026-07-18,news,"California",2026,false,false,false,HTML,B2,"Methodology described via secondary reporting, not a retrieved CCR document","CCR compares observed cases in a community over a defined period against expected numbers for a similarly sized population using statewide rates, age groups and time periods"
SRC-PUR-2023,"California Pesticide Use Report annual archive 2023 (Orange County extract)","CA Department of Pesticide Regulation","",https://files.cdpr.ca.gov/pub/outgoing/pur_archives/pur2023.zip,2024-01-01,2026-07-18,dataset,"Orange County, CA",2023,true,true,false,ZIP,A1,"Single year; homeowner use exempt; structural pest control is county-summary only; 94.6% of records unlocated","DOWNLOADED AND PROCESSED: 79473 Orange County records; 382 chemicals; 45 site types. Confirms glufosinate 442 records/10531.9 lbs, 336 in landscape maintenance"
SRC-BLM-PLSS,"BLM National PLSS CadNSDI cadastral service","US Bureau of Land Management","",https://gis.blm.gov/arcgis/rest/services/Cadastral/BLM_Natl_PLSS_CadNSDI/MapServer,2026-07-18,2026-07-18,gis_service,"United States",current,true,true,false,API,A1,"Section returns 00 for unsectioned land-grant areas; verify against DPR PLSSNET","Queried: Ladera Ranch is T7S R7W and T7S R8W San Bernardino Meridian; section number returns 00 (unsectioned)"
SRC-WA-ORCHARD,"Model Remedies for Former Orchards; Building Homes on Former Orchard Lands","Washington State Department of Ecology","",https://ecology.wa.gov/regulations-permits/guidance-technical-assistance/mtca-model-remedies/model-remedies-for-former-orchards,2024-09-01,2026-07-18,report,"Washington State",current,true,true,false,HTML,A2,"Washington standards; not binding in California","Arsenic cleanup level >20 ppm; lead >250 ppm. Four remedies: removal; hard/soft capping (asphalt or soil/grass/gravel) with maintenance + owner notice; consolidate-and-cap; mixing with clean soil"
SRC-CA-EDCODE,"California Education Code 17210/17213.1/17213.2 school site environmental assessment requirements","California Dept of Education / DTSC","",https://www.cde.ca.gov/ls/fa/schoolsiteguide.asp,2024-01-01,2026-07-18,filing,"California",current,true,true,false,HTML,A2,"Applies to school sites only","Mandates Phase I ESA + DTSC review + PEA for school site acquisition; evaluated to DTSC residential standard; special provisions for agriculturally zoned sites"
SRC-DTSC-AG,"Interim Guidance for Sampling Agricultural Fields (for school sites); Ag Guidance Rev 3","California DTSC","",https://dtsc.ca.gov/wp-content/uploads/sites/31/2018/01/Sampling-Ag-Fields-for-Schools.pdf,2008-08-07,2026-07-18,report,"California",current,true,true,false,PDF,A2,"Direct PDF fetch returned 403; content via DTSC summaries","Former-orchard contaminants of concern: arsenic, lead, organochlorine pesticides. DTSC residential screening level for lead 80 mg/kg"
SRC-EPA-RESSOP,"Standard Operating Procedures for Residential Pesticide Exposure Assessment (Oct 2012)","US EPA Office of Pesticide Programs","",https://www.epa.gov/pesticide-science-and-assessing-pesticide-risks/standard-operating-procedures-residential-pesticide,2012-10-01,2026-07-18,report,"US",current,true,true,false,PDF,A1,"","EPA residential exposure scenarios incl. children playing on treated lawns and homeowner spraying; aggregate dermal/inhalation/non-dietary oral routes"
SRC-IARC-AS,"Arsenic and arsenic compounds — IARC Group 1 evaluation","IARC / WHO","",https://www.ncbi.nlm.nih.gov/books/NBK533643/,2012-01-01,2026-07-18,literature,"International",current,true,true,true,HTML,A1,"","Group 1: sufficient evidence in humans for urinary bladder, lung, non-melanoma skin cancer; elevated kidney/liver/colon in very high drinking-water exposure areas"
SRC-EPA-ASRBA,"Arsenic RBA and IVBA fact sheet; bioavailability guidance","US EPA Superfund Technical Review Workgroup","",https://semspub.epa.gov/work/HQ/100002716.pdf,2016-01-01,2026-07-18,report,"US",current,true,true,false,PDF,A1,"","EPA 2016 recommends relative bioavailability (RBA) 0.6 for arsenic in soil via incidental ingestion; incidental soil ingestion especially significant for children 2-6"
SRC-MCBRIDE-AS,"Arsenic and Lead Uptake by Vegetable Crops Grown on an Old Orchard Site","McBride et al. / Cornell Waste Management Institute","McBride MB, et al.",https://cwmi.css.cornell.edu/Arsenic-Lead-Uptake-McBride.pdf,2015-01-01,2026-07-18,literature,"US",current,false,true,true,PDF,A1,"","Soil-to-plant transfer more efficient for As than Pb; As uptake lettuce>carrot>bean>tomato; leafy vegetables may exceed standards on elevated-As soil; arugula strong accumulator; compost reduces uptake; phosphate amendment can increase extractable As"
SRC-SARCOMA-EPI,"The Epidemiology of Sarcoma","PMC / peer-reviewed review","",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3564705/,2013-01-01,2026-07-18,literature,"International",current,false,false,true,HTML,B1,"Review; arsenic association is with soft-tissue sarcoma at occupational doses, not Ewing-specific","Notes arsenic among chemicals associated with soft-tissue sarcoma; parental farming/farm residence associated with bone cancers especially Ewing sarcoma"
SRC-ATSDR-AS,"ToxGuide / Toxicological Profile for Arsenic","ATSDR (Agency for Toxic Substances and Disease Registry)","",https://www.atsdr.cdc.gov/toxguides/toxguide-2.pdf,2007-10-01,2026-07-18,report,"US",current,true,true,false,PDF,A1,"Some chapters blocked by CDC server","Arsenic cannot be destroyed; tends to concentrate and remain in upper soil layers indefinitely. Diet is largest source for most individuals. Inhalation minor; dermal low"
SRC-DTSC-BKGD,"Ambient arsenic in Southern California soils (school-site PEA dataset)","California DTSC (Chernoff, Bosan, Oudiz)","",https://dtsc.ca.gov/,2008-01-01,2026-07-18,report,"Southern California (LA/Orange/Riverside/San Bernardino/San Diego)",current,true,true,false,PDF,A2,"dtsc.ca.gov Cloudflare-blocked to automated fetch; values via secondary retrieval","n=1086; mean 1.51 mg/kg; median 1.50; max 19.63; upper bound 12 mg/kg used as background screening value. Risk-based SL is ~100x below ambient"
SRC-EPA-EFH,"Exposure Factors Handbook Ch.5 (soil and dust ingestion), Table 5-1","US EPA","",https://www.epa.gov/expobox/exposure-factors-handbook-chapter-5,2011-09-01,2026-07-18,report,"US",current,true,true,false,PDF,A1,"","Child 1-<6: soil 50 mg/day, dust 60 mg/day; upper percentile 200 mg/day; soil-pica 1000 mg/day; IEUBK apportions 55% dust / 45% soil"
SRC-EPA-BARBER,"Relative Bioavailability of Arsenic from Soil, Barber Orchard Superfund Site","US EPA","",https://semspub.epa.gov/work/04/10782284.pdf,2010-01-01,2026-07-18,report,"North Carolina",current,true,true,false,PDF,A2,"Former lead-arsenate orchard; direct analogue","Measured RBA 0.31 +/- 0.03 across 4 soils at 280-370 mg/kg As; default bioavailability overestimates risk ~3-fold; As enriched in <250 um fraction"
SRC-MIDDLEPORT,"Residential soil/dust arsenic and children's urinary arsenic, Middleport NY","Environmental Health Perspectives / peer-reviewed","",https://pmc.ncbi.nlm.nih.gov/,2016-01-01,2026-07-18,literature,"New York",current,false,true,true,HTML,B1,"","Soil As GM 19.9 mg/kg, dust 11.2 mg/kg; child urinary inorganic As showed NO significant correlation with soil (r=0.137 p=0.39) or dust (r=0.049 p=0.73); rice consumption was the significant predictor"
SRC-CATTLE-TICK,"California's Cattle-Range Industry: Decimation of the Herds 1870-1912 (tick quarantine and arsenical dipping)","San Diego History Center Journal","",https://sandiegohistory.org/journal/1965/january/cattle/,1965-01-01,2026-07-18,literature,"California",1870-1917,false,false,false,HTML,B1,"Historical journal article; dipping procedure detail limited","CA tick quarantine 1895-1917; March 1907 law compelled arsenical dips; Orange County among last counties quarantined (April 1910)"
SRC-DIPVAT-CONTAM,"Cattle dipping vat arsenic contamination — assessment and remediation literature","Florida DEP / peer-reviewed (Environment International)","",https://floridadep.gov/waste/district-business-support/content/cattle-dipping-vats-cdv,2016-08-19,2026-07-18,report,"US",1906-present,true,true,true,PDF,A2,"Florida/other-state sites; not California-specific","Dip vats ~3000 gal, 20% arsenical solution, As2O3; documented site soils 18-715 mg/kg (mean 332), another at 1390 mg/kg; vats often abandoned in place"
SRC-ARSENITE-HERB,"History of sodium arsenite as herbicide and soil sterilant","Herbicide history literature (Gray 1917 CA Ag Exp Stn; Radcliffe IPM World)","",https://ipmworld.umn.edu/ware-intro-herbicides,1917-01-01,2026-07-18,literature,"California / US",1900-1960,false,false,true,HTML,B1,"Compiled history; CA-specific application records not located","Standard herbicide of commerce ~1906-1960; Gray 1917 CA bulletin on bindweed; arsenic trioxide soil sterilisation at 400-800 lbs/acre"
SRC-CITRUS-PEST,"California red scale control history — cyanide fumigation and oil sprays","UC IPM / Agriculture and Human Values","",https://ipm.ucanr.edu/agriculture/citrus/california-red-scale-and-yellow-scale/,2024-01-01,2026-07-18,literature,"California",1890-present,false,true,true,HTML,B1,"","CA citrus red scale controlled by HCN tent fumigation then mineral-oil emulsion sprays - NOT arsenicals; supports crop mismatch finding"
SRC-RMV-HIST,"History of The Ranch — Rancho Mission Viejo","Rancho Mission Viejo","",https://www.ranchomissionviejo.com/land-2/history,2024-01-01,2026-07-18,webpage,"South Orange County, CA",1882-present,false,false,false,HTML,C,"Developer-authored","Flood/O'Neill from 1882; 200,000+ acres; Jerome O'Neill managed cattle operation 1907-1926; ~6,000 head by mid-century, SoCal's largest"
SRC-IMG-OCHIST,Orange County Historical Aerial Imagery (Historic_Imagery_v2 ImageServer),"County of Orange, OC Survey Geospatial Services",,https://ocgis.com/arcpub/rest/services/Historic_Imagery/Historic_Imagery_v2/ImageServer,,2026-07-18,Geospatial imagery service,"Orange County, CA",1929-1997,TRUE,TRUE,FALSE,ArcGIS ImageServer (JPEG/TIFF export),A1,"Frame coverage is uneven; some frames leave parts of the footprint outside their extent. Scanned film, so tone and contrast vary widely between frames. Rectified by the county; no independent accuracy statement published.","36 frames intersect the Ladera Ranch footprint, 6 pre-1950. Best resolution 1.15 ft/px (1937-38 600-scale). Export extent verified against request to +/-25 m and against modern landmarks."
SRC-IMG-OCMODERN,Orange County 1-ft Countywide Aerial Imagery (WGS84),"County of Orange, OC Survey Geospatial Services",,https://ocgis.com/arcpub/rest/services/Aerial_Imagery_Countywide/OC_Aerial_2022_1ft_WGS84/ImageServer,2022,2026-07-18,Geospatial imagery service,"Orange County, CA",2022,TRUE,TRUE,FALSE,ArcGIS ImageServer (JPEG export),A1,Export size capped; large requests rejected.,"Used as the modern comparison panel at identical extent, and to verify georeferencing of the historical frames."
SRC-GEO-3DEP,USGS 3DEP Elevation (1/3 arc-second),U.S. Geological Survey,,https://elevation.nationalmap.gov/arcgis/rest/services/3DEPElevation/ImageServer,,2026-07-18,Elevation model,United States,current,TRUE,TRUE,FALSE,GeoTIFF (Float32),A1,"MODERN surface only. Ladera Ranch was mass-graded, so elevations and slopes inside the built area reflect engineered pads, NOT original landform. Cannot be used to infer pre-development terrain.",Used for drainage-network derivation and the housing-placement comparison. The slope result inside the built area is explicitly NOT treated as a finding because of the grading confound.
SRC-GEO-OSMBLDG,"OpenStreetMap building footprints, Ladera Ranch extent",OpenStreetMap contributors,,https://overpass-api.de/api/interpreter,,2026-07-18,Crowdsourced geospatial,"Ladera Ranch / Mission Viejo, CA",current,FALSE,FALSE,FALSE,GeoJSON / Overpass JSON,B2,"Community-maintained; completeness varies by area and is not guaranteed uniform. Building centroids only, no attribute on age or use. Not authoritative for parcel or address data.","10,618 footprints used ONLY in aggregate as a proxy for where housing stands. No address, parcel or resident information is stored or plotted."
