intervalId,entityId,stateDimension,stateValue,validFrom,validTo,startBoundType,endBoundType,temporalPrecision,geometryId,geometryStatus,sourceIds,supportingClaimIds,statementClass,confidence,proximityEligible,limitations,notes
LH-LIFE-LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2004,LH-CFD-2002-1-URBAN-ACTIVITY-CENTER,built_and_occupied_absorption,179,2004-01-01,2004-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2004,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2005,LH-CFD-2002-1-URBAN-ACTIVITY-CENTER,built_and_occupied_absorption,49,2005-01-01,2005-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2005,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2003-1-PHASE-V-2004,LH-CFD-2003-1-PHASE-V,built_and_occupied_absorption,741,2004-01-01,2004-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-2003-1-PHASE-V-2004,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2003-1-PHASE-V-2005,LH-CFD-2003-1-PHASE-V,built_and_occupied_absorption,375,2005-01-01,2005-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-2003-1-PHASE-V-2005,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2003-1-PHASE-V-2006,LH-CFD-2003-1-PHASE-V,built_and_occupied_absorption,126,2006-01-01,2006-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-2003-1-PHASE-V-2006,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2004-1-PHASE-VI-2005,LH-CFD-2004-1-PHASE-VI,built_and_occupied_absorption,312,2005-01-01,2005-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,LH-CLM-LH-ABS-CFD-2004-1-PHASE-VI-2005,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2004-1-PHASE-VI-2006,LH-CFD-2004-1-PHASE-VI,built_and_occupied_absorption,393,2006-01-01,2006-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,LH-CLM-LH-ABS-CFD-2004-1-PHASE-VI-2006,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2004-1-PHASE-VI-2007,LH-CFD-2004-1-PHASE-VI,built_and_occupied_absorption,141,2007-01-01,2007-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,LH-CLM-LH-ABS-CFD-2004-1-PHASE-VI-2007,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2004-1-PHASE-VI-2008,LH-CFD-2004-1-PHASE-VI,built_and_occupied_absorption,31,2008-01-01,2008-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,LH-CLM-LH-ABS-CFD-2004-1-PHASE-VI-2008,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2004-1-PHASE-VI-2009,LH-CFD-2004-1-PHASE-VI,built_and_occupied_absorption,15,2009-01-01,2009-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,LH-CLM-LH-ABS-CFD-2004-1-PHASE-VI-2009,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2004-1-PHASE-VI-2010,LH-CFD-2004-1-PHASE-VI,built_and_occupied_absorption,0,2010-01-01,2010-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,LH-CLM-LH-ABS-CFD-2004-1-PHASE-VI-2010,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
