occupancyEventId,relatedEventId,geographyId,geographyType,eventClass,eventTitle,earliestDate,latestDate,datePrecision,homeCount,habitabilityConclusion,occupancyConclusion,geometryId,geometryStatus,sourceIds,statementClass,confidence,confidenceRationale,limitations,reviewStatus,proximityEligible
LH-OCC-EVT-031,LH-EVT-031,LH-FEAT-COMMUNITY,community_nonspatial,community_completion_not_occupancy,Community substantially completed,2006-01-01,2006-12-31,year,,not_established,not_established,,not_available,LH-SRC-ULI-CASE,documented_approximate,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Custom lots and later sales remained No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-032,LH-EVT-032,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,Community sells out except custom lots,2007-04-01,2007-04-30,month,,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Timeline reports 6585 total new homes sold No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-033,LH-EVT-033,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,6631 total new homes sold,2008-01-01,2008-01-31,month,6631,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Later custom-lot completion remains unresolved No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-LH-ABS-CFD-99-1-PHASE-I-1999,LH-ABS-CFD-99-1-PHASE-I-1999,LH-CFD-99-1-PHASE-I,cfd_nonspatial,built_and_occupied_absorption,97 built-and-occupied units absorbed,1999-01-01,1999-12-31,year,97,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-99-1-PHASE-I-2000,LH-ABS-CFD-99-1-PHASE-I-2000,LH-CFD-99-1-PHASE-I,cfd_nonspatial,built_and_occupied_absorption,557 built-and-occupied units absorbed,2000-01-01,2000-12-31,year,557,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-99-1-PHASE-I-2001,LH-ABS-CFD-99-1-PHASE-I-2001,LH-CFD-99-1-PHASE-I,cfd_nonspatial,built_and_occupied_absorption,276 built-and-occupied units absorbed,2001-01-01,2001-12-31,year,276,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-99-1-PHASE-I-2002,LH-ABS-CFD-99-1-PHASE-I-2002,LH-CFD-99-1-PHASE-I,cfd_nonspatial,built_and_occupied_absorption,30 built-and-occupied units absorbed,2002-01-01,2002-12-31,year,30,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-99-1-PHASE-I-2003,LH-ABS-CFD-99-1-PHASE-I-2003,LH-CFD-99-1-PHASE-I,cfd_nonspatial,built_and_occupied_absorption,0 built-and-occupied units absorbed,2003-01-01,2003-12-31,year,0,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-99-1-PHASE-I-2004,LH-ABS-CFD-99-1-PHASE-I-2004,LH-CFD-99-1-PHASE-I,cfd_nonspatial,built_and_occupied_absorption,14 built-and-occupied units absorbed,2004-01-01,2004-12-31,year,14,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-99-1-PHASE-I-2005,LH-ABS-CFD-99-1-PHASE-I-2005,LH-CFD-99-1-PHASE-I,cfd_nonspatial,built_and_occupied_absorption,98 built-and-occupied units absorbed,2005-01-01,2005-12-31,year,98,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-99-1-PHASE-I-2006,LH-ABS-CFD-99-1-PHASE-I-2006,LH-CFD-99-1-PHASE-I,cfd_nonspatial,built_and_occupied_absorption,57 built-and-occupied units absorbed,2006-01-01,2006-12-31,year,57,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2003,LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2003,LH-CFD-2002-1-URBAN-ACTIVITY-CENTER,cfd_nonspatial,built_and_occupied_absorption,158 built-and-occupied units absorbed,2003-01-01,2003-12-31,year,158,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2004,LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2004,LH-CFD-2002-1-URBAN-ACTIVITY-CENTER,cfd_nonspatial,built_and_occupied_absorption,179 built-and-occupied units absorbed,2004-01-01,2004-12-31,year,179,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2005,LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2005,LH-CFD-2002-1-URBAN-ACTIVITY-CENTER,cfd_nonspatial,built_and_occupied_absorption,49 built-and-occupied units absorbed,2005-01-01,2005-12-31,year,49,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2003-1-PHASE-V-2004,LH-ABS-CFD-2003-1-PHASE-V-2004,LH-CFD-2003-1-PHASE-V,cfd_nonspatial,built_and_occupied_absorption,741 built-and-occupied units absorbed,2004-01-01,2004-12-31,year,741,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2003-1-PHASE-V-2005,LH-ABS-CFD-2003-1-PHASE-V-2005,LH-CFD-2003-1-PHASE-V,cfd_nonspatial,built_and_occupied_absorption,375 built-and-occupied units absorbed,2005-01-01,2005-12-31,year,375,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2003-1-PHASE-V-2006,LH-ABS-CFD-2003-1-PHASE-V-2006,LH-CFD-2003-1-PHASE-V,cfd_nonspatial,built_and_occupied_absorption,126 built-and-occupied units absorbed,2006-01-01,2006-12-31,year,126,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2004-1-PHASE-VI-2005,LH-ABS-CFD-2004-1-PHASE-VI-2005,LH-CFD-2004-1-PHASE-VI,cfd_nonspatial,built_and_occupied_absorption,312 built-and-occupied units absorbed,2005-01-01,2005-12-31,year,312,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2004-1-PHASE-VI-2006,LH-ABS-CFD-2004-1-PHASE-VI-2006,LH-CFD-2004-1-PHASE-VI,cfd_nonspatial,built_and_occupied_absorption,393 built-and-occupied units absorbed,2006-01-01,2006-12-31,year,393,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2004-1-PHASE-VI-2007,LH-ABS-CFD-2004-1-PHASE-VI-2007,LH-CFD-2004-1-PHASE-VI,cfd_nonspatial,built_and_occupied_absorption,141 built-and-occupied units absorbed,2007-01-01,2007-12-31,year,141,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2004-1-PHASE-VI-2008,LH-ABS-CFD-2004-1-PHASE-VI-2008,LH-CFD-2004-1-PHASE-VI,cfd_nonspatial,built_and_occupied_absorption,31 built-and-occupied units absorbed,2008-01-01,2008-12-31,year,31,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2004-1-PHASE-VI-2009,LH-ABS-CFD-2004-1-PHASE-VI-2009,LH-CFD-2004-1-PHASE-VI,cfd_nonspatial,built_and_occupied_absorption,15 built-and-occupied units absorbed,2009-01-01,2009-12-31,year,15,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-LH-ABS-CFD-2004-1-PHASE-VI-2010,LH-ABS-CFD-2004-1-PHASE-VI-2010,LH-CFD-2004-1-PHASE-VI,cfd_nonspatial,built_and_occupied_absorption,0 built-and-occupied units absorbed,2010-01-01,2010-12-31,year,0,not_separately_established,aggregate_built_and_occupied_count,,not_available,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,high,Official County report explicitly defines absorption as built and occupied.,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",bounded_nonspatial_cfd_record,false
LH-OCC-M5-FIRST-OVERNIGHT,LH-EVT-M5-005,LH-VILLAGE-OAK-KNOLL,village_nonspatial,reported_overnight_occupancy,First reported Oak Knoll overnight stay,1999-11-30,1999-11-30,day,1,not_established,reported_overnight_stay,,not_available,LH-SRC-LAT-FIRST-RESIDENT-1999,documented_exact,medium,Contemporary report gives an exact overnight date but also reports no gas or electricity.,Conflicts with 1999-12-14 official retrospective; no address or certificate-of-occupancy record.,conflict_retained_nonspatial,false
