claimId,subjectEntityId,claimType,claimText,dateStart,dateEnd,temporalPrecision,claimScope,supportingObservationIds,sourceIds,supportType,statementClass,confidence,conflictStatus,reviewStatus,limitations,notes
LH-CLM-TRACT-15625,LH-TRACT-15625,legal_recording_milestone,County tract map 15625 was recorded 1999-04-22.,1999-04-22,,day,legal_subdivision,LH-OBS-TRACT-15625,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 782/38-44
LH-CLM-TRACT-15626,LH-TRACT-15626,legal_recording_milestone,County tract map 15626 was recorded 1999-05-07.,1999-05-07,,day,legal_subdivision,LH-OBS-TRACT-15626,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 784/32-35
LH-CLM-TRACT-15627,LH-TRACT-15627,legal_recording_milestone,County tract map 15627 was recorded 1999-05-14.,1999-05-14,,day,legal_subdivision,LH-OBS-TRACT-15627,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 785/17-20
LH-CLM-TRACT-15628,LH-TRACT-15628,legal_recording_milestone,County tract map 15628 was recorded 1999-05-25.,1999-05-25,,day,legal_subdivision,LH-OBS-TRACT-15628,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 786/23-26
LH-CLM-TRACT-15629,LH-TRACT-15629,legal_recording_milestone,County tract map 15629 was recorded 1999-06-30.,1999-06-30,,day,legal_subdivision,LH-OBS-TRACT-15629,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 787/43-47
LH-CLM-TRACT-15630,LH-TRACT-15630,legal_recording_milestone,County tract map 15630 was recorded 1999-05-14.,1999-05-14,,day,legal_subdivision,LH-OBS-TRACT-15630,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 785/10-16
LH-CLM-TRACT-15631,LH-TRACT-15631,legal_recording_milestone,County tract map 15631 was recorded 2000-09-14.,2000-09-14,,day,legal_subdivision,LH-OBS-TRACT-15631,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 795/26-30
LH-CLM-TRACT-15632,LH-TRACT-15632,legal_recording_milestone,County tract map 15632 was recorded 1999-08-30.,1999-08-30,,day,legal_subdivision,LH-OBS-TRACT-15632,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 790/34-37
LH-CLM-TRACT-15793,LH-TRACT-15793,legal_recording_milestone,County tract map 15793 was recorded 2008-12-24.,2008-12-24,,day,legal_subdivision,LH-OBS-TRACT-15793,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,no_material_overlap_found,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 897/28-33
LH-CLM-TRACT-15813,LH-TRACT-15813,legal_recording_milestone,County tract map 15813 was recorded 2000-06-14.,2000-06-14,,day,legal_subdivision,LH-OBS-TRACT-15813,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 795/1-16
LH-CLM-TRACT-15827,LH-TRACT-15827,legal_recording_milestone,County tract map 15827 was recorded 2000-05-10.,2000-05-10,,day,legal_subdivision,LH-OBS-TRACT-15827,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 797/32-39
LH-CLM-TRACT-15884,LH-TRACT-15884,legal_recording_milestone,County tract map 15884 was recorded 2000-01-14.,2000-01-14,,day,legal_subdivision,LH-OBS-TRACT-15884,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 794/33-44
LH-CLM-TRACT-15885,LH-TRACT-15885,legal_recording_milestone,County tract map 15885 was recorded 2000-07-27.,2000-07-27,,day,legal_subdivision,LH-OBS-TRACT-15885,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 804/30-33
LH-CLM-TRACT-15886,LH-TRACT-15886,legal_recording_milestone,County tract map 15886 was recorded 2000-10-30.,2000-10-30,,day,legal_subdivision,LH-OBS-TRACT-15886,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 807/25-28
LH-CLM-TRACT-15887,LH-TRACT-15887,legal_recording_milestone,County tract map 15887 was recorded 2000-06-02.,2000-06-02,,day,legal_subdivision,LH-OBS-TRACT-15887,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 802/25-28
LH-CLM-TRACT-15888,LH-TRACT-15888,legal_recording_milestone,County tract map 15888 was recorded 2000-06-02.,2000-06-02,,day,legal_subdivision,LH-OBS-TRACT-15888,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 802/14-17
LH-CLM-TRACT-15901,LH-TRACT-15901,legal_recording_milestone,County tract map 15901 was recorded 2000-07-06.,2000-07-06,,day,legal_subdivision,LH-OBS-TRACT-15901,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 803/48-50
LH-CLM-TRACT-15902,LH-TRACT-15902,legal_recording_milestone,County tract map 15902 was recorded 2000-06-16.,2000-06-16,,day,legal_subdivision,LH-OBS-TRACT-15902,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 803/28-30
LH-CLM-TRACT-15903,LH-TRACT-15903,legal_recording_milestone,County tract map 15903 was recorded 2000-06-16.,2000-06-16,,day,legal_subdivision,LH-OBS-TRACT-15903,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 803/22-27
LH-CLM-TRACT-15904,LH-TRACT-15904,legal_recording_milestone,County tract map 15904 was recorded 2000-06-02.,2000-06-02,,day,legal_subdivision,LH-OBS-TRACT-15904,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 800/48-50
LH-CLM-TRACT-15905,LH-TRACT-15905,legal_recording_milestone,County tract map 15905 was recorded 2000-08-16.,2000-08-16,,day,legal_subdivision,LH-OBS-TRACT-15905,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 805/6-8
LH-CLM-TRACT-15906,LH-TRACT-15906,legal_recording_milestone,County tract map 15906 was recorded 2000-06-16.,2000-06-16,,day,legal_subdivision,LH-OBS-TRACT-15906,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 803/16-21
LH-CLM-TRACT-15907,LH-TRACT-15907,legal_recording_milestone,County tract map 15907 was recorded 2000-08-25.,2000-08-25,,day,legal_subdivision,LH-OBS-TRACT-15907,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 805/26-28
LH-CLM-TRACT-15908,LH-TRACT-15908,legal_recording_milestone,County tract map 15908 was recorded 2001-06-29.,2001-06-29,,day,legal_subdivision,LH-OBS-TRACT-15908,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 820/10-15
LH-CLM-TRACT-15909,LH-TRACT-15909,legal_recording_milestone,County tract map 15909 was recorded 2001-06-29.,2001-06-29,,day,legal_subdivision,LH-OBS-TRACT-15909,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 820/29-34
LH-CLM-TRACT-15910,LH-TRACT-15910,legal_recording_milestone,County tract map 15910 was recorded 2000-10-13.,2000-10-13,,day,legal_subdivision,LH-OBS-TRACT-15910,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 806/33-37
LH-CLM-TRACT-15911,LH-TRACT-15911,legal_recording_milestone,County tract map 15911 was recorded 2000-10-11.,2000-10-11,,day,legal_subdivision,LH-OBS-TRACT-15911,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 806/27-30
LH-CLM-TRACT-15912,LH-TRACT-15912,legal_recording_milestone,County tract map 15912 was recorded 2000-06-22.,2000-06-22,,day,legal_subdivision,LH-OBS-TRACT-15912,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 804/1-4
LH-CLM-TRACT-15914,LH-TRACT-15914,legal_recording_milestone,County tract map 15914 was recorded 2001-05-30.,2001-05-30,,day,legal_subdivision,LH-OBS-TRACT-15914,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 817/45-47
LH-CLM-TRACT-15915,LH-TRACT-15915,legal_recording_milestone,County tract map 15915 was recorded 2000-08-25.,2000-08-25,,day,legal_subdivision,LH-OBS-TRACT-15915,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 805/29-34
LH-CLM-TRACT-15985,LH-TRACT-15985,legal_recording_milestone,County tract map 15985 was recorded 2003-04-04.,2003-04-04,,day,legal_subdivision,LH-OBS-TRACT-15985,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 842/8-20
LH-CLM-TRACT-15986,LH-TRACT-15986,legal_recording_milestone,County tract map 15986 was recorded 2003-08-28.,2003-08-28,,day,legal_subdivision,LH-OBS-TRACT-15986,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 849/1-15
LH-CLM-TRACT-15987,LH-TRACT-15987,legal_recording_milestone,County tract map 15987 was recorded 2002-12-17.,2002-12-17,,day,legal_subdivision,LH-OBS-TRACT-15987,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 839/1-18
LH-CLM-TRACT-15988,LH-TRACT-15988,legal_recording_milestone,County tract map 15988 was recorded 2004-01-30.,2004-01-30,,day,legal_subdivision,LH-OBS-TRACT-15988,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 854/6-16
LH-CLM-TRACT-15989,LH-TRACT-15989,legal_recording_milestone,County tract map 15989 was recorded 2004-11-15.,2004-11-15,,day,legal_subdivision,LH-OBS-TRACT-15989,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,no_material_overlap_found,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 863/8-14
LH-CLM-TRACT-15990,LH-TRACT-15990,legal_recording_milestone,County tract map 15990 was recorded 2004-10-28.,2004-10-28,,day,legal_subdivision,LH-OBS-TRACT-15990,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,no_material_overlap_found,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 862/34-41
LH-CLM-TRACT-16025,LH-TRACT-16025,legal_recording_milestone,County tract map 16025 was recorded 2001-01-26.,2001-01-26,,day,legal_subdivision,LH-OBS-TRACT-16025,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 812/22-29
LH-CLM-TRACT-16063,LH-TRACT-16063,legal_recording_milestone,County tract map 16063 was recorded 2001-05-25.,2001-05-25,,day,legal_subdivision,LH-OBS-TRACT-16063,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 818/32-40
LH-CLM-TRACT-16101,LH-TRACT-16101,legal_recording_milestone,County tract map 16101 was recorded 2001-06-29.,2001-06-29,,day,legal_subdivision,LH-OBS-TRACT-16101,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 820/21-25
LH-CLM-TRACT-16102,LH-TRACT-16102,legal_recording_milestone,County tract map 16102 was recorded 2001-06-12.,2001-06-12,,day,legal_subdivision,LH-OBS-TRACT-16102,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 819/1-5
LH-CLM-TRACT-16103,LH-TRACT-16103,legal_recording_milestone,County tract map 16103 was recorded 2001-06-12.,2001-06-12,,day,legal_subdivision,LH-OBS-TRACT-16103,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 817/1-5
LH-CLM-TRACT-16104,LH-TRACT-16104,legal_recording_milestone,County tract map 16104 was recorded 2001-07-31.,2001-07-31,,day,legal_subdivision,LH-OBS-TRACT-16104,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 821/35-40
LH-CLM-TRACT-16105,LH-TRACT-16105,legal_recording_milestone,County tract map 16105 was recorded 2001-04-01.,2001-04-01,,day,legal_subdivision,LH-OBS-TRACT-16105,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 823/18-26
LH-CLM-TRACT-16114,LH-TRACT-16114,legal_recording_milestone,County tract map 16114 was recorded 2001-07-31.,2001-07-31,,day,legal_subdivision,LH-OBS-TRACT-16114,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 821/41-44
LH-CLM-TRACT-16115,LH-TRACT-16115,legal_recording_milestone,County tract map 16115 was recorded 2002-02-14.,2002-02-14,,day,legal_subdivision,LH-OBS-TRACT-16115,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 825/40-45
LH-CLM-TRACT-16116,LH-TRACT-16116,legal_recording_milestone,County tract map 16116 was recorded 2002-05-16.,2002-05-16,,day,legal_subdivision,LH-OBS-TRACT-16116,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 830/35-40
LH-CLM-TRACT-16117,LH-TRACT-16117,legal_recording_milestone,County tract map 16117 was recorded 2001-12-26.,2001-12-26,,day,legal_subdivision,LH-OBS-TRACT-16117,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 826/1-3
LH-CLM-TRACT-16118,LH-TRACT-16118,legal_recording_milestone,County tract map 16118 was recorded 2001-10-26.,2001-10-26,,day,legal_subdivision,LH-OBS-TRACT-16118,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 823/30-33
LH-CLM-TRACT-16119,LH-TRACT-16119,legal_recording_milestone,County tract map 16119 was recorded 2001-12-26.,2001-12-26,,day,legal_subdivision,LH-OBS-TRACT-16119,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 824/48-50
LH-CLM-TRACT-16120,LH-TRACT-16120,legal_recording_milestone,County tract map 16120 was recorded 2001-10-12.,2001-10-12,,day,legal_subdivision,LH-OBS-TRACT-16120,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 822/40-43
LH-CLM-TRACT-16121,LH-TRACT-16121,legal_recording_milestone,County tract map 16121 was recorded 2001-12-26.,2001-12-26,,day,legal_subdivision,LH-OBS-TRACT-16121,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 825/46-50
LH-CLM-TRACT-16122,LH-TRACT-16122,legal_recording_milestone,County tract map 16122 was recorded 2001-12-26.,2001-12-26,,day,legal_subdivision,LH-OBS-TRACT-16122,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 823/34-38
LH-CLM-TRACT-16126,LH-TRACT-16126,legal_recording_milestone,County tract map 16126 was recorded 2001-11-08.,2001-11-08,,day,legal_subdivision,LH-OBS-TRACT-16126,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 824/15-20
LH-CLM-TRACT-16127,LH-TRACT-16127,legal_recording_milestone,County tract map 16127 was recorded 2001-07-30.,2001-07-30,,day,legal_subdivision,LH-OBS-TRACT-16127,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 821/29-34
LH-CLM-TRACT-16155,LH-TRACT-16155,legal_recording_milestone,County tract map 16155 was recorded 2001-01-26.,2001-01-26,,day,legal_subdivision,LH-OBS-TRACT-16155,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 812/30-39
LH-CLM-TRACT-16156,LH-TRACT-16156,legal_recording_milestone,County tract map 16156 was recorded 2001-01-26.,2001-01-26,,day,legal_subdivision,LH-OBS-TRACT-16156,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 812/40-48
LH-CLM-TRACT-16157,LH-TRACT-16157,legal_recording_milestone,County tract map 16157 was recorded 2001-01-26.,2001-01-26,,day,legal_subdivision,LH-OBS-TRACT-16157,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 813/1-9
LH-CLM-TRACT-16203,LH-TRACT-16203,legal_recording_milestone,County tract map 16203 was recorded 2002-01-24.,2002-01-24,,day,legal_subdivision,LH-OBS-TRACT-16203,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 826/8-20
LH-CLM-TRACT-16234,LH-TRACT-16234,legal_recording_milestone,County tract map 16234 was recorded 2001-12-26.,2001-12-26,,day,legal_subdivision,LH-OBS-TRACT-16234,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 825/19-29
LH-CLM-TRACT-16235,LH-TRACT-16235,legal_recording_milestone,County tract map 16235 was recorded 2002-02-14.,2002-02-14,,day,legal_subdivision,LH-OBS-TRACT-16235,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 825/30-39
LH-CLM-TRACT-16236,LH-TRACT-16236,legal_recording_milestone,County tract map 16236 was recorded 2002-05-29.,2002-05-29,,day,legal_subdivision,LH-OBS-TRACT-16236,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 832/24-29
LH-CLM-TRACT-16237,LH-TRACT-16237,legal_recording_milestone,County tract map 16237 was recorded 2002-08-14.,2002-08-14,,day,legal_subdivision,LH-OBS-TRACT-16237,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 835/17-20
LH-CLM-TRACT-16238,LH-TRACT-16238,legal_recording_milestone,County tract map 16238 was recorded 2002-08-21.,2002-08-21,,day,legal_subdivision,LH-OBS-TRACT-16238,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 835/21-25
LH-CLM-TRACT-16239,LH-TRACT-16239,legal_recording_milestone,County tract map 16239 was recorded 2002-06-26.,2002-06-26,,day,legal_subdivision,LH-OBS-TRACT-16239,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 834/9-15
LH-CLM-TRACT-16240,LH-TRACT-16240,legal_recording_milestone,County tract map 16240 was recorded 2002-06-28.,2002-06-28,,day,legal_subdivision,LH-OBS-TRACT-16240,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 834/22-25
LH-CLM-TRACT-16241,LH-TRACT-16241,legal_recording_milestone,County tract map 16241 was recorded 2003-02-25.,2003-02-25,,day,legal_subdivision,LH-OBS-TRACT-16241,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 840/32-36
LH-CLM-TRACT-16242,LH-TRACT-16242,legal_recording_milestone,County tract map 16242 was recorded 2002-06-18.,2002-06-18,,day,legal_subdivision,LH-OBS-TRACT-16242,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 833/24-27
