relationshipId,fromTractId,toTractId,fromTractNumber,toTractNumber,relationshipType,intersectionAreaSqM,overlapPctOfFrom,overlapPctOfTo,chronology,geometryTest,analysisCrs,sourceIds,statementClass,confidence,reviewStatus,lifecycleConclusion,limitations
LH-XWALK-0019,LH-TRACT-15813,LH-TRACT-15906,15813,15906,contains_or_matches_extent,38612.4,6.1481,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0020,LH-TRACT-15615,LH-TRACT-15628,15615,15628,contains_or_matches_extent,25766.3,2.2151,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0021,LH-TRACT-15619,LH-TRACT-16063,15619,16063,partial_overlap,2.3,0.0028,0.0005,from_recorded_before_to,intersection exceeds 1 square metre,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,low,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0022,LH-TRACT-16203,LH-TRACT-16250,16203,16250,contains_or_matches_extent,33496.3,5.8229,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0023,LH-TRACT-16234,LH-TRACT-16237,16234,16237,documented_parent_child_map,39797.7,8.9654,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0024,LH-TRACT-16156,LH-TRACT-16122,16156,16122,contains_or_matches_extent,28890.0,9.9156,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0025,LH-TRACT-15813,LH-TRACT-15905,15813,15905,contains_or_matches_extent,45872.5,7.3041,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0026,LH-TRACT-15813,LH-TRACT-15909,15813,15909,documented_parent_child_map,41886.6,6.6694,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0027,LH-TRACT-15884,LH-TRACT-15887,15884,15887,documented_parent_child_map,24391.2,6.8532,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,visual_interpretation,medium,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0028,LH-TRACT-16234,LH-TRACT-16241,16234,16241,contains_or_matches_extent,36168.8,8.1479,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0029,LH-TRACT-16155,LH-TRACT-16102,16155,16102,contains_or_matches_extent,38364.6,9.4055,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0030,LH-TRACT-16155,LH-TRACT-16103,16155,16103,contains_or_matches_extent,25996.2,6.3733,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0031,LH-TRACT-16155,LH-TRACT-16157,16155,16157,partial_overlap,1.9,0.0005,0.0007,same_record_date,intersection exceeds 1 square metre,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,low,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0032,LH-TRACT-16155,LH-TRACT-16105,16155,16105,contains_or_matches_extent,36500.6,8.9486,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0033,LH-TRACT-16155,LH-TRACT-16104,16155,16104,documented_parent_child_map,49410.8,12.1136,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,visual_interpretation,medium,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0034,LH-TRACT-16155,LH-TRACT-16101,16155,16101,contains_or_matches_extent,48543.8,11.9011,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0035,LH-TRACT-16155,LH-TRACT-16127,16155,16127,contains_or_matches_extent,20055.7,4.9169,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0036,LH-TRACT-15987,LH-TRACT-16384,15987,16384,contains_or_matches_extent,22975.3,3.9930,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0037,LH-TRACT-16156,LH-TRACT-16121,16156,16121,contains_or_matches_extent,41677.7,14.3046,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0038,LH-TRACT-16156,LH-TRACT-16120,16156,16120,contains_or_matches_extent,27819.2,9.5481,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0039,LH-TRACT-15615,LH-TRACT-15617,15615,15617,documented_parent_child_map,23735.6,2.0405,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0040,LH-TRACT-16234,LH-TRACT-16236,16234,16236,documented_parent_child_map,48751.4,10.9825,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0041,LH-TRACT-16235,LH-TRACT-16243,16235,16243,documented_parent_child_map,40090.1,15.4164,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0042,LH-TRACT-15615,LH-TRACT-15625,15615,15625,documented_parent_child_map,70417.7,6.0537,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0043,LH-TRACT-15813,LH-TRACT-15907,15813,15907,documented_parent_child_map,16893.5,2.6899,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0044,LH-TRACT-15813,LH-TRACT-15902,15813,15902,documented_parent_child_map,20119.2,3.2035,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0045,LH-TRACT-15813,LH-TRACT-15911,15813,15911,documented_parent_child_map,24527.6,3.9054,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0046,LH-TRACT-15813,LH-TRACT-15901,15813,15901,documented_parent_child_map,12836.8,2.0440,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0047,LH-TRACT-15813,LH-TRACT-15910,15813,15910,contains_or_matches_extent,32701.6,5.2069,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0048,LH-TRACT-15813,LH-TRACT-15827,15813,15827,partial_overlap,5.8,0.0009,0.0018,from_recorded_after_to,intersection exceeds 1 square metre,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,low,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0049,LH-TRACT-15813,LH-TRACT-15912,15813,15912,documented_parent_child_map,35764.6,5.6946,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0050,LH-TRACT-15813,LH-TRACT-15908,15813,15908,documented_parent_child_map,38672.0,6.1576,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0051,LH-TRACT-15813,LH-TRACT-15904,15813,15904,contains_or_matches_extent,28766.7,4.5804,100.0000,from_recorded_after_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0052,LH-TRACT-16203,LH-TRACT-16248,16203,16248,contains_or_matches_extent,28166.8,4.8964,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0053,LH-TRACT-16687,LH-TRACT-15985,16687,15985,partial_overlap,4411.9,5.2843,1.3927,from_recorded_after_to,intersection exceeds 1 square metre,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,low,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0054,LH-TRACT-15988,LH-TRACT-16687,15988,16687,documented_parent_child_map,79079.1,23.3840,94.7157,from_recorded_before_to,intersection covers 90.0-99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0055,LH-TRACT-16271,LH-TRACT-16354,16271,16354,documented_parent_child_map,41626.8,8.6336,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0056,LH-TRACT-16235,LH-TRACT-16245,16235,16245,contains_or_matches_extent,43455.4,16.7105,99.9997,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0057,LH-TRACT-16235,LH-TRACT-16244,16235,16244,contains_or_matches_extent,46942.3,18.0513,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0058,LH-TRACT-16156,LH-TRACT-16119,16156,16119,contains_or_matches_extent,11521.4,3.9544,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0059,LH-TRACT-15827,LH-TRACT-15915,15827,15915,documented_parent_child_map,40221.6,12.8285,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0060,LH-TRACT-15884,LH-TRACT-15885,15884,15885,contains_or_matches_extent,26711.4,7.5051,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0061,LH-TRACT-16203,LH-TRACT-16247,16203,16247,contains_or_matches_extent,21900.7,3.8071,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0062,LH-TRACT-15615,LH-TRACT-15632,15615,15632,documented_parent_child_map,30936.2,2.6595,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0063,LH-TRACT-15615,LH-TRACT-15618,15615,15618,contains_or_matches_extent,34735.1,2.9861,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0064,LH-TRACT-15615,LH-TRACT-15616,15615,15616,contains_or_matches_extent,24726.3,2.1257,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
