builder,builderProductId,canonicalProductName,cfdPhase,completionUpperBound,confidence,escrowsBy2006,escrowsBy2011,firstSales,housingType,limitations,modelOpening,permitsBy2006,permitsBy2011,productName,sourceIds,statementClass,unitsPlanned,village
John Laing,LH-PRODUCT-ECHO-RIDGE-POTTERS-BEND,Potters Bend,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Potters Bend,LH-SRC-ACTIVERAIN-2010,reported_secondary,109,Echo Ridge
MBK Homes,LH-PRODUCT-ECHO-RIDGE-SYLVAN-OAKS,Sylvan Oaks,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Sylvan Oaks,LH-SRC-ACTIVERAIN-2010,reported_secondary,69,Echo Ridge
Standard Pacific Homes,LH-PRODUCT-ECHO-RIDGE-TAMARIND,Tamarind,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Tamarind,LH-SRC-ACTIVERAIN-2010,reported_secondary,118,Echo Ridge
Centex Homes,LH-PRODUCT-ECHO-RIDGE-TATTERSHALL,Tattershall,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Tattershall,LH-SRC-ACTIVERAIN-2010,reported_secondary,122,Echo Ridge
K Hovnanian,LH-PRODUCT-ECHO-RIDGE-TRAIL-RIDGE,Trail Ridge,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Trail Ridge,LH-SRC-ACTIVERAIN-2010,reported_secondary,100,Echo Ridge
Warmington Homes,LH-PRODUCT-FLINTRIDGE-BELMONT-HILL,Belmont Hill,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Belmont Hill,LH-SRC-ACTIVERAIN-2010,reported_secondary,72,Flintridge
John Laing Homes,LH-PRODUCT-FLINTRIDGE-CHIMNEY-CORNERS,Chimney Corners,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Chimney Corners,LH-SRC-ACTIVERAIN-2010,reported_secondary,80,Flintridge
Centex Homes,LH-PRODUCT-FLINTRIDGE-CLIFTON-HEIGHTS,Clifton Heights,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Clifton Heights,LH-SRC-ACTIVERAIN-2010,reported_secondary,71,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-HAMPTON-ROAD,Hampton Road,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Hampton Road,LH-SRC-ACTIVERAIN-2010,reported_secondary,82,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-RESTON,Reston,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Reston,LH-SRC-ACTIVERAIN-2010,reported_secondary,128,Flintridge
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-AMBERLY-LANE,Amberly Lane,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Amberly Lane,LH-SRC-ACTIVERAIN-2010,reported_secondary,97,Oak Knoll
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-FAIRFIELD,Fairfield,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Fairfield,LH-SRC-ACTIVERAIN-2010,reported_secondary,86,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-MAPLEWOOD,Maplewood,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Maplewood,LH-SRC-ACTIVERAIN-2010,reported_secondary,103,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-PRESCOTT,Prescott,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Prescott,LH-SRC-ACTIVERAIN-2010,reported_secondary,64,Oak Knoll
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-SARASOTA,Sarasota,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Sarasota,LH-SRC-ACTIVERAIN-2010,reported_secondary,94,Oak Knoll
Shea Homes,LH-PRODUCT-OAK-KNOLL-SHADY-LANE,Shady Lane,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Shady Lane,LH-SRC-ACTIVERAIN-2010,reported_secondary,55,Oak Knoll
Shea Homes,LH-PRODUCT-OAK-KNOLL-SYCAMORE-GROVE,Sycamore Grove,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Sycamore Grove,LH-SRC-ACTIVERAIN-2010,reported_secondary,101,Oak Knoll
John Laing Homes,LH-PRODUCT-OAK-KNOLL-TRAILS,Trails,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Trails,LH-SRC-ACTIVERAIN-2010,reported_secondary,118,Oak Knoll
Shea Homes,LH-PRODUCT-OAK-KNOLL-WHISPERING-CREEK-GLEN,Whispering Creek Glen,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Whispering Creek Glen,LH-SRC-ACTIVERAIN-2010,reported_secondary,106,Oak Knoll
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-WYETH,Wyeth,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Wyeth,LH-SRC-ACTIVERAIN-2010,reported_secondary,133,Oak Knoll
Richmond American,LH-PRODUCT-TERRAMOR-ARBORAGE,Arborage,Phase V,2006-12-31,high,104,,,Single Family Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,104,,Arborage,LH-SRC-OC-BOND-2006Q4,documented_exact,104,Terramor
Standard Pacific,LH-PRODUCT-TERRAMOR-BANISTER-STREET,Banister Street,Phase V,2006-12-31,high,24,,,Townhomes,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,24,,Banister Street,LH-SRC-OC-BOND-2006Q4,documented_exact,24,Terramor
Standard Pacific,LH-PRODUCT-TERRAMOR-BRANCHES,Branches,Phase V,,high,148,,,Townhomes,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,149,,Branches,LH-SRC-OC-BOND-2006Q4,documented_exact,149,Terramor
MBK Homes,LH-PRODUCT-TERRAMOR-BRIAR-ROSE,Briar Rose,Phase V,,high,136,,,Townhomes,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,152,,Briar Rose,LH-SRC-OC-BOND-2006Q4,documented_exact,152,Terramor
Pulte Homes,LH-PRODUCT-TERRAMOR-CLAIBORNE,Claiborne,Phase V,2006-12-31,high,75,,,Single Family Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,75,,Clairborne,LH-SRC-OC-BOND-2006Q4,documented_exact,75,Terramor
Pardee Homes,LH-PRODUCT-TERRAMOR-EVERGREEN-LADERA,Evergreen,Phase V,2006-12-31,high,77,,,Single Family Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,77,,Evergreen,LH-SRC-OC-BOND-2006Q4,documented_exact,77,Terramor
K. Hovnanian,LH-PRODUCT-TERRAMOR-MOSAIC,Mosaic,Phase V,2006-12-31,high,89,,,Single Family Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,89,,Mosaic,LH-SRC-OC-BOND-2006Q4,documented_exact,89,Terramor
Shea Homes,LH-PRODUCT-TERRAMOR-SEDONA,Sedona,Phase V,2006-12-31,high,79,,,Single Family Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,79,,Sedona,LH-SRC-OC-BOND-2006Q4,documented_exact,79,Terramor
Centex Homes,LH-PRODUCT-TERRAMOR-SUTTER-S-MILL,Sutter's Mill,Phase V,2006-12-31,high,152,,,Townhomes,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,152,,Sutter's Mill,LH-SRC-OC-BOND-2006Q4,documented_exact,152,Terramor
D.R. Horton,LH-PRODUCT-TERRAMOR-TARLETON,Tarleton,Phase V,2006-12-31,high,107,,,Single Family Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,107,,Tarleton,LH-SRC-OC-BOND-2006Q4,documented_exact,107,Terramor
D.R. Horton,LH-PRODUCT-TERRAMOR-VALMONT,Valmont,Phase V,2006-12-31,high,142,,,Condominiums,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,142,,Valmont,LH-SRC-OC-BOND-2006Q4,documented_exact,142,Terramor
William Lyon Homes,LH-PRODUCT-TERRAMOR-WALDEN-PARK,Walden Park,Phase V,2006-12-31,high,109,,,Single Family Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,109,,Walden Park,LH-SRC-OC-BOND-2006Q4,documented_exact,109,Terramor
Greystone,LH-PRODUCT-TOWNSHIP-ALDENHOUSE,Aldenhouse,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,Aldenhouse,LH-SRC-ACTIVERAIN-2010,reported_secondary,80,Township
K. Hovnanian,LH-PRODUCT-TOWNSHIP-THE-GABLES,The Gables,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,The Gables,LH-SRC-ACTIVERAIN-2010,reported_secondary,112,Township
Centex Homes,LH-PRODUCT-TOWNSHIP-THREE-VINES,Three Vines,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,Three Vines,LH-SRC-ACTIVERAIN-2010,reported_secondary,90,Township
Richmond American,LH-PRODUCT-WYCLIFFE-CHESAPEAKE,Chesapeake,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Chesapeake,LH-SRC-ACTIVERAIN-2010,reported_secondary,101,Wycliffe
William Lyon Homes,LH-PRODUCT-WYCLIFFE-DAVENPORT,Davenport,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,Davenport,LH-SRC-ACTIVERAIN-2010,reported_secondary,163,Wycliffe
D.R. Horton,LH-PRODUCT-WYCLIFFE-SANSOVINO,Sansovino,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,Sansovino,LH-SRC-ACTIVERAIN-2010,reported_secondary,114,Wycliffe
Barratt Homes,LH-PRODUCT-WYCLIFFE-SURREY-FARM,Surrey Farms,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,Surrey Farm,LH-SRC-ACTIVERAIN-2010,reported_secondary,120,Wycliffe
