terrainContextId,tractId,tractNumber,recordDate,pixelCount,sampledAreaSqM,minElevationM,medianElevationM,meanElevationM,maxElevationM,reliefM,meanSlopeDeg,medianSlopeDeg,p90SlopeDeg,steepSlopeGe20DegPct,dominantAspectSector,flatLt2DegPct,northFacingPct,eastFacingPct,southFacingPct,westFacingPct,demNominalYear,analysisCrs,horizontalPixelSizeM,sourceIds,statementClass,confidence,limitations
LH-TERRAIN-TRACT-15625-2018,LH-TRACT-15625,15625,1999-04-22,2822,70488.7,150.1,153.2,153.4,157.2,7.1,2.51,1.49,4.67,0.50,flat,61.02,13.47,6.41,15.73,22.93,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15626-2018,LH-TRACT-15626,15626,1999-05-07,1639,40939.4,146.2,149.2,149.1,152.0,5.9,2.49,1.54,4.49,0.55,flat,61.44,9.64,7.99,18.36,22.51,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15627-2018,LH-TRACT-15627,15627,1999-05-14,1054,26327.1,146.2,148.1,148.1,150.0,3.8,2.22,1.62,3.71,0.00,flat,59.20,17.55,9.01,11.10,23.34,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15628-2018,LH-TRACT-15628,15628,1999-05-25,1033,25802.5,148.8,151.3,151.0,152.7,3.9,2.36,1.62,4.27,0.00,flat,57.70,18.68,9.97,16.55,26.23,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15629-2018,LH-TRACT-15629,15629,1999-06-30,1065,26601.8,154.4,158.9,158.9,164.4,9.9,3.97,2.05,11.03,3.85,flat,47.98,29.77,0.94,11.46,31.92,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15630-2018,LH-TRACT-15630,15630,1999-05-14,2042,51005.6,161.5,165.2,165.3,169.9,8.4,3.09,2.22,5.76,0.44,flat,43.93,33.40,7.64,9.55,27.91,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15631-2018,LH-TRACT-15631,15631,2000-09-14,1140,28475.2,169.0,172.4,172.5,174.6,5.6,2.74,1.80,5.11,0.79,flat,55.61,22.81,8.77,6.40,27.81,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15632-2018,LH-TRACT-15632,15632,1999-08-30,1233,30798.2,151.0,154.9,155.0,157.8,6.8,2.49,2.01,4.42,0.00,flat,49.64,24.98,6.00,13.54,33.50,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15793-2018,LH-TRACT-15793,15793,2008-12-24,9370,234046.3,65.7,79.3,83.5,124.5,58.8,11.39,11.74,21.81,15.07,flat,18.61,19.53,37.59,29.89,33.58,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15813-2018,LH-TRACT-15813,15813,2000-06-14,25151,628228.2,148.0,178.2,176.3,194.4,46.5,6.57,2.96,21.32,12.00,flat,34.35,22.91,18.40,26.54,29.86,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15827-2018,LH-TRACT-15827,15827,2000-05-10,12560,313727.0,110.4,138.5,142.3,172.5,62.1,8.36,3.83,22.73,15.72,flat,32.99,26.74,13.77,15.71,40.94,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15884-2018,LH-TRACT-15884,15884,2000-01-14,14250,355940.2,148.4,175.4,173.8,188.8,40.4,3.20,1.75,6.84,2.70,flat,58.36,5.12,4.11,21.87,28.06,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15885-2018,LH-TRACT-15885,15885,2000-07-27,1072,26776.7,162.1,164.3,164.8,170.8,8.7,3.34,1.30,9.82,2.80,flat,65.76,5.50,5.60,22.67,19.03,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15886-2018,LH-TRACT-15886,15886,2000-10-30,1000,24978.3,165.8,173.0,172.9,175.1,9.2,2.61,1.60,3.97,1.80,flat,67.20,1.80,3.00,22.10,23.80,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15887-2018,LH-TRACT-15887,15887,2000-06-02,975,24353.8,170.4,175.7,175.2,178.2,7.8,2.86,1.97,6.36,0.00,flat,51.08,4.00,3.18,29.13,35.38,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15888-2018,LH-TRACT-15888,15888,2000-06-02,848,21181.6,175.7,176.7,176.9,178.7,2.9,1.61,1.54,2.78,0.00,flat,70.52,4.48,4.13,15.21,18.63,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15901-2018,LH-TRACT-15901,15901,2000-07-06,513,12813.8,180.6,182.1,182.5,185.5,4.9,3.17,1.89,5.44,2.73,flat,52.24,19.88,30.41,10.72,11.11,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15902-2018,LH-TRACT-15902,15902,2000-06-16,804,20082.5,180.6,183.5,183.3,185.1,4.6,2.81,1.79,5.73,0.25,flat,55.72,16.42,17.79,22.01,15.80,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15903-2018,LH-TRACT-15903,15903,2000-06-16,1013,25303.0,175.6,180.9,180.6,186.7,11.1,3.55,2.45,7.27,0.79,flat,41.46,32.58,8.59,15.50,30.70,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15904-2018,LH-TRACT-15904,15904,2000-06-02,1153,28799.9,184.7,188.6,188.3,190.5,5.8,2.92,2.05,5.56,0.78,flat,48.40,27.23,11.36,10.93,26.45,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15905-2018,LH-TRACT-15905,15905,2000-08-16,1835,45835.1,183.5,188.8,188.7,191.5,8.0,3.08,2.03,6.25,0.71,flat,49.65,9.32,20.00,29.05,17.17,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15906-2018,LH-TRACT-15906,15906,2000-06-16,1548,38666.3,172.1,176.1,177.3,186.0,14.0,3.93,2.55,8.69,2.39,flat,38.24,14.47,31.33,34.24,15.05,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15907-2018,LH-TRACT-15907,15907,2000-08-25,682,17035.2,167.1,170.6,170.3,173.6,6.5,3.52,2.24,7.64,1.32,flat,45.01,4.40,23.17,38.42,16.42,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15908-2018,LH-TRACT-15908,15908,2001-06-29,1553,38791.2,177.2,181.2,181.1,184.9,7.7,2.92,1.63,6.68,1.16,flat,57.57,11.27,8.63,22.15,22.67,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15909-2018,LH-TRACT-15909,15909,2001-06-29,1680,41963.5,177.8,183.9,184.7,189.7,11.9,3.64,2.08,9.41,2.08,flat,48.27,25.00,12.92,10.65,26.67,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15910-2018,LH-TRACT-15910,15910,2000-10-13,1315,32846.4,165.6,169.3,170.9,178.2,12.5,3.47,2.22,9.01,0.68,flat,44.71,20.53,10.87,22.13,28.29,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15911-2018,LH-TRACT-15911,15911,2000-10-11,980,24478.7,158.3,164.1,164.2,171.7,13.4,4.86,3.56,10.20,3.16,W,24.29,2.35,11.84,45.31,48.67,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15912-2018,LH-TRACT-15912,15912,2000-06-22,1436,35868.8,163.0,169.8,169.4,174.1,11.1,3.64,2.50,7.34,1.11,flat,40.39,7.38,11.21,34.26,35.17,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15914-2018,LH-TRACT-15914,15914,2001-05-30,206,5145.5,137.6,139.7,139.7,142.0,4.4,2.22,1.34,5.18,0.00,flat,68.93,22.82,8.25,0.49,21.36,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15915-2018,LH-TRACT-15915,15915,2000-08-25,1609,40190.0,136.1,139.8,139.5,142.2,6.2,2.39,1.59,4.84,0.00,flat,62.71,22.31,7.15,5.47,22.00,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15985-2018,LH-TRACT-15985,15985,2003-04-04,12682,316774.3,139.1,188.2,186.4,206.5,67.4,10.04,6.22,24.29,21.12,flat,27.39,25.90,40.85,19.77,18.78,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15986-2018,LH-TRACT-15986,15986,2003-08-28,19501,487101.1,99.0,122.5,126.2,168.7,69.7,7.37,3.96,22.05,12.99,flat,29.11,25.81,12.80,24.06,42.96,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15987-2018,LH-TRACT-15987,15987,2002-12-17,23025,575124.4,114.4,153.4,154.1,192.5,78.1,6.61,3.35,19.57,9.50,flat,34.70,13.94,15.03,30.36,37.83,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15988-2018,LH-TRACT-15988,15988,2004-01-30,13365,333834.5,130.9,179.1,177.2,205.8,74.9,11.25,8.28,26.02,24.53,flat,22.68,18.29,26.74,43.96,35.86,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15989-2018,LH-TRACT-15989,15989,2004-11-15,4082,101961.3,113.2,136.1,135.0,151.9,38.8,9.50,5.72,23.98,19.55,flat,28.03,31.63,9.36,15.90,51.86,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15990-2018,LH-TRACT-15990,15990,2004-10-28,3454,86274.9,100.1,117.3,117.0,133.0,32.9,7.11,3.89,19.20,8.74,flat,33.29,31.47,15.11,10.68,35.81,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-16025-2018,LH-TRACT-16025,16025,2001-01-26,10316,257675.7,127.4,143.8,143.0,167.1,39.7,4.72,2.02,15.84,7.54,flat,49.68,20.06,7.26,13.90,35.17,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-16063-2018,LH-TRACT-16063,16063,2001-05-25,20185,504186.2,165.9,184.7,187.1,236.2,70.3,6.54,2.12,19.33,9.01,flat,47.89,14.39,2.00,14.81,43.06,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-16101-2018,LH-TRACT-16101,16101,2001-06-29,1947,48632.7,153.0,165.2,164.9,178.6,25.6,4.09,2.53,9.95,1.54,flat,40.99,9.45,12.58,34.82,31.54,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-16102-2018,LH-TRACT-16102,16102,2001-06-12,1538,38416.6,149.4,158.5,158.0,164.9,15.5,4.19,2.71,9.90,1.50,flat,39.99,25.42,9.30,16.91,37.58,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-16103-2018,LH-TRACT-16103,16103,2001-06-12,1044,26077.3,146.9,151.2,150.9,155.5,8.6,2.77,1.85,5.35,0.19,flat,53.26,7.28,9.39,30.27,24.33,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-16104-2018,LH-TRACT-16104,16104,2001-07-31,1976,49357.0,144.4,147.3,147.4,150.1,5.7,2.36,1.68,4.77,0.00,flat,58.15,15.18,8.00,18.62,27.58,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-16105-2018,LH-TRACT-16105,16105,2001-04-01,1459,36443.3,147.2,150.4,150.2,154.1,6.9,1.99,1.41,3.86,0.14,flat,71.56,8.22,1.30,12.27,23.78,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-16114-2018,LH-TRACT-16114,16114,2001-07-31,941,23504.5,140.5,142.9,142.8,144.5,4.0,3.35,2.06,7.80,1.70,flat,48.67,26.04,18.38,15.20,19.98,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-16115-2018,LH-TRACT-16115,16115,2002-02-14,1503,37542.3,142.0,144.9,144.9,146.8,4.8,2.26,1.56,4.42,0.67,flat,61.61,22.75,10.11,9.18,15.90,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
