observationId,observedEntityId,observationType,observedValue,dateStart,dateEnd,temporalPrecision,geometryId,geometryType,geometryStatus,method,sourceIds,sourceLocator,statementClass,confidence,limitations,notes
LH-OBS-TRACT-15625,LH-TRACT-15625,legal_tract_map_recording,Tract 15625 recorded as MM 782/38-44,1999-04-22,,day,LH-TRACT-15625,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 3363; MM 782/38-44,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15626,LH-TRACT-15626,legal_tract_map_recording,Tract 15626 recorded as MM 784/32-35,1999-05-07,,day,LH-TRACT-15626,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 1289; MM 784/32-35,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15627,LH-TRACT-15627,legal_tract_map_recording,Tract 15627 recorded as MM 785/17-20,1999-05-14,,day,LH-TRACT-15627,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 10616; MM 785/17-20,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15628,LH-TRACT-15628,legal_tract_map_recording,Tract 15628 recorded as MM 786/23-26,1999-05-25,,day,LH-TRACT-15628,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 1881; MM 786/23-26,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15629,LH-TRACT-15629,legal_tract_map_recording,Tract 15629 recorded as MM 787/43-47,1999-06-30,,day,LH-TRACT-15629,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 14150; MM 787/43-47,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15630,LH-TRACT-15630,legal_tract_map_recording,Tract 15630 recorded as MM 785/10-16,1999-05-14,,day,LH-TRACT-15630,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 13827; MM 785/10-16,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15631,LH-TRACT-15631,legal_tract_map_recording,Tract 15631 recorded as MM 795/26-30,2000-09-14,,day,LH-TRACT-15631,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 7538; MM 795/26-30,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15632,LH-TRACT-15632,legal_tract_map_recording,Tract 15632 recorded as MM 790/34-37,1999-08-30,,day,LH-TRACT-15632,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 6351; MM 790/34-37,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15793,LH-TRACT-15793,legal_tract_map_recording,Tract 15793 recorded as MM 897/28-33,2008-12-24,,day,LH-TRACT-15793,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 14728; MM 897/28-33,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",standalone_or_unresolved
LH-OBS-TRACT-15813,LH-TRACT-15813,legal_tract_map_recording,Tract 15813 recorded as MM 795/1-16,2000-06-14,,day,LH-TRACT-15813,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 3406; MM 795/1-16,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-15827,LH-TRACT-15827,legal_tract_map_recording,Tract 15827 recorded as MM 797/32-39,2000-05-10,,day,LH-TRACT-15827,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 11020; MM 797/32-39,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-15884,LH-TRACT-15884,legal_tract_map_recording,Tract 15884 recorded as MM 794/33-44,2000-01-14,,day,LH-TRACT-15884,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 13192; MM 794/33-44,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-15885,LH-TRACT-15885,legal_tract_map_recording,Tract 15885 recorded as MM 804/30-33,2000-07-27,,day,LH-TRACT-15885,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 5276; MM 804/30-33,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15886,LH-TRACT-15886,legal_tract_map_recording,Tract 15886 recorded as MM 807/25-28,2000-10-30,,day,LH-TRACT-15886,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 7864; MM 807/25-28,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15887,LH-TRACT-15887,legal_tract_map_recording,Tract 15887 recorded as MM 802/25-28,2000-06-02,,day,LH-TRACT-15887,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 2605; MM 802/25-28,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15888,LH-TRACT-15888,legal_tract_map_recording,Tract 15888 recorded as MM 802/14-17,2000-06-02,,day,LH-TRACT-15888,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 8672; MM 802/14-17,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15901,LH-TRACT-15901,legal_tract_map_recording,Tract 15901 recorded as MM 803/48-50,2000-07-06,,day,LH-TRACT-15901,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 9417; MM 803/48-50,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15902,LH-TRACT-15902,legal_tract_map_recording,Tract 15902 recorded as MM 803/28-30,2000-06-16,,day,LH-TRACT-15902,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 4018; MM 803/28-30,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15903,LH-TRACT-15903,legal_tract_map_recording,Tract 15903 recorded as MM 803/22-27,2000-06-16,,day,LH-TRACT-15903,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 164; MM 803/22-27,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15904,LH-TRACT-15904,legal_tract_map_recording,Tract 15904 recorded as MM 800/48-50,2000-06-02,,day,LH-TRACT-15904,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 14190; MM 800/48-50,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15905,LH-TRACT-15905,legal_tract_map_recording,Tract 15905 recorded as MM 805/6-8,2000-08-16,,day,LH-TRACT-15905,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 2243; MM 805/6-8,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15906,LH-TRACT-15906,legal_tract_map_recording,Tract 15906 recorded as MM 803/16-21,2000-06-16,,day,LH-TRACT-15906,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 1772; MM 803/16-21,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15907,LH-TRACT-15907,legal_tract_map_recording,Tract 15907 recorded as MM 805/26-28,2000-08-25,,day,LH-TRACT-15907,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 4017; MM 805/26-28,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15908,LH-TRACT-15908,legal_tract_map_recording,Tract 15908 recorded as MM 820/10-15,2001-06-29,,day,LH-TRACT-15908,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 13977; MM 820/10-15,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15909,LH-TRACT-15909,legal_tract_map_recording,Tract 15909 recorded as MM 820/29-34,2001-06-29,,day,LH-TRACT-15909,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 2244; MM 820/29-34,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15910,LH-TRACT-15910,legal_tract_map_recording,Tract 15910 recorded as MM 806/33-37,2000-10-13,,day,LH-TRACT-15910,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 9453; MM 806/33-37,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15911,LH-TRACT-15911,legal_tract_map_recording,Tract 15911 recorded as MM 806/27-30,2000-10-11,,day,LH-TRACT-15911,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 6831; MM 806/27-30,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15912,LH-TRACT-15912,legal_tract_map_recording,Tract 15912 recorded as MM 804/1-4,2000-06-22,,day,LH-TRACT-15912,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 11101; MM 804/1-4,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15914,LH-TRACT-15914,legal_tract_map_recording,Tract 15914 recorded as MM 817/45-47,2001-05-30,,day,LH-TRACT-15914,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 13175; MM 817/45-47,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15915,LH-TRACT-15915,legal_tract_map_recording,Tract 15915 recorded as MM 805/29-34,2000-08-25,,day,LH-TRACT-15915,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 5259; MM 805/29-34,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15985,LH-TRACT-15985,legal_tract_map_recording,Tract 15985 recorded as MM 842/8-20,2003-04-04,,day,LH-TRACT-15985,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 11073; MM 842/8-20,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",partial_overlap_review_required
LH-OBS-TRACT-15986,LH-TRACT-15986,legal_tract_map_recording,Tract 15986 recorded as MM 849/1-15,2003-08-28,,day,LH-TRACT-15986,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 14226; MM 849/1-15,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-15987,LH-TRACT-15987,legal_tract_map_recording,Tract 15987 recorded as MM 839/1-18,2002-12-17,,day,LH-TRACT-15987,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 12363; MM 839/1-18,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-15988,LH-TRACT-15988,legal_tract_map_recording,Tract 15988 recorded as MM 854/6-16,2004-01-30,,day,LH-TRACT-15988,Polygon,original_invalid_repaired_for_measurement,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 11808; MM 854/6-16,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_map_review_required
LH-OBS-TRACT-15989,LH-TRACT-15989,legal_tract_map_recording,Tract 15989 recorded as MM 863/8-14,2004-11-15,,day,LH-TRACT-15989,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 13657; MM 863/8-14,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",standalone_or_unresolved
LH-OBS-TRACT-15990,LH-TRACT-15990,legal_tract_map_recording,Tract 15990 recorded as MM 862/34-41,2004-10-28,,day,LH-TRACT-15990,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 4042; MM 862/34-41,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",standalone_or_unresolved
LH-OBS-TRACT-16025,LH-TRACT-16025,legal_tract_map_recording,Tract 16025 recorded as MM 812/22-29,2001-01-26,,day,LH-TRACT-16025,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 107; MM 812/22-29,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-16063,LH-TRACT-16063,legal_tract_map_recording,Tract 16063 recorded as MM 818/32-40,2001-05-25,,day,LH-TRACT-16063,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 3171; MM 818/32-40,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",partial_overlap_review_required
LH-OBS-TRACT-16101,LH-TRACT-16101,legal_tract_map_recording,Tract 16101 recorded as MM 820/21-25,2001-06-29,,day,LH-TRACT-16101,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 12346; MM 820/21-25,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16102,LH-TRACT-16102,legal_tract_map_recording,Tract 16102 recorded as MM 819/1-5,2001-06-12,,day,LH-TRACT-16102,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 4016; MM 819/1-5,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16103,LH-TRACT-16103,legal_tract_map_recording,Tract 16103 recorded as MM 817/1-5,2001-06-12,,day,LH-TRACT-16103,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 5260; MM 817/1-5,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16104,LH-TRACT-16104,legal_tract_map_recording,Tract 16104 recorded as MM 821/35-40,2001-07-31,,day,LH-TRACT-16104,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 11102; MM 821/35-40,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-16105,LH-TRACT-16105,legal_tract_map_recording,Tract 16105 recorded as MM 823/18-26,2001-04-01,,day,LH-TRACT-16105,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 10618; MM 823/18-26,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16114,LH-TRACT-16114,legal_tract_map_recording,Tract 16114 recorded as MM 821/41-44,2001-07-31,,day,LH-TRACT-16114,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 11309; MM 821/41-44,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-16115,LH-TRACT-16115,legal_tract_map_recording,Tract 16115 recorded as MM 825/40-45,2002-02-14,,day,LH-TRACT-16115,Polygon,original_invalid_repaired_for_measurement,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 2236; MM 825/40-45,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16116,LH-TRACT-16116,legal_tract_map_recording,Tract 16116 recorded as MM 830/35-40,2002-05-16,,day,LH-TRACT-16116,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 14100; MM 830/35-40,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-16117,LH-TRACT-16117,legal_tract_map_recording,Tract 16117 recorded as MM 826/1-3,2001-12-26,,day,LH-TRACT-16117,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 4043; MM 826/1-3,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16118,LH-TRACT-16118,legal_tract_map_recording,Tract 16118 recorded as MM 823/30-33,2001-10-26,,day,LH-TRACT-16118,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 13527; MM 823/30-33,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-16119,LH-TRACT-16119,legal_tract_map_recording,Tract 16119 recorded as MM 824/48-50,2001-12-26,,day,LH-TRACT-16119,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 5243; MM 824/48-50,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16120,LH-TRACT-16120,legal_tract_map_recording,Tract 16120 recorded as MM 822/40-43,2001-10-12,,day,LH-TRACT-16120,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 3339; MM 822/40-43,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16121,LH-TRACT-16121,legal_tract_map_recording,Tract 16121 recorded as MM 825/46-50,2001-12-26,,day,LH-TRACT-16121,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 3338; MM 825/46-50,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16122,LH-TRACT-16122,legal_tract_map_recording,Tract 16122 recorded as MM 823/34-38,2001-12-26,,day,LH-TRACT-16122,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 2237; MM 823/34-38,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16126,LH-TRACT-16126,legal_tract_map_recording,Tract 16126 recorded as MM 824/15-20,2001-11-08,,day,LH-TRACT-16126,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 9860; MM 824/15-20,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-16127,LH-TRACT-16127,legal_tract_map_recording,Tract 16127 recorded as MM 821/29-34,2001-07-30,,day,LH-TRACT-16127,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 13195; MM 821/29-34,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-16155,LH-TRACT-16155,legal_tract_map_recording,Tract 16155 recorded as MM 812/30-39,2001-01-26,,day,LH-TRACT-16155,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 2715; MM 812/30-39,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-16156,LH-TRACT-16156,legal_tract_map_recording,Tract 16156 recorded as MM 812/40-48,2001-01-26,,day,LH-TRACT-16156,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 13601; MM 812/40-48,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-16157,LH-TRACT-16157,legal_tract_map_recording,Tract 16157 recorded as MM 813/1-9,2001-01-26,,day,LH-TRACT-16157,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 9485; MM 813/1-9,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-16203,LH-TRACT-16203,legal_tract_map_recording,Tract 16203 recorded as MM 826/8-20,2002-01-24,,day,LH-TRACT-16203,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 7834; MM 826/8-20,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-16234,LH-TRACT-16234,legal_tract_map_recording,Tract 16234 recorded as MM 825/19-29,2001-12-26,,day,LH-TRACT-16234,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 11878; MM 825/19-29,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
