assetChronologyId,assetId,assetName,assetClass,milestoneState,earliestDate,latestDate,datePrecision,geometryId,geometryStatus,sourceIds,confidence,limitations,haulRouteStatus,reviewStatus
LH-ASSET-EVT-025,LH-SCHOOL-LRMS,Ladera Ranch School splits into elementary and middle schools,school,open,2004-01-01,2004-12-31,year,,current_point_available,LH-SRC-CUSD-LRMS,high,Exact date not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-026,LH-FEAT-VILLAGE-CLUBHOUSES,Flintridge and Covenant Hills village clubhouses open,clubhouse,open,2004-12-01,2004-12-31,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact days not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-028,LH-SCHOOL-OSO-GRANDE,Oso Grande Elementary opens,school,open,2005-08-24,2005-08-24,day,,current_point_available,LH-SRC-CDE-OSO,high,Official registry date Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-029,LH-FEAT-2005-PARKS,Skate Park Wagsdale Park and Terramor Water Park open,park,open,2005-11-01,2005-11-30,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact days not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-COMMERCIAL-2006-LAUREL-TERRACE,LH-ASSET-UAC-LAUREL-TERRACE,Laurel Terrace,apartments,some_built_leasing,2006-12-31,2006-12-31,day,,not_retrieved,LH-SRC-OC-BOND-2006Q4,high,Snapshot status only; historical footprint and opening or construction dates remain unresolved.,not_documented,documented_status_snapshot
LH-COMMERCIAL-2006-REMINGTON-ACTIVE-SENIORS,LH-ASSET-UAC-REMINGTON-ACTIVE-SENIORS,Remington-Active Seniors,senior_apartments,uc_preleasing,2006-12-31,2006-12-31,day,,not_retrieved,LH-SRC-OC-BOND-2006Q4,high,Snapshot status only; historical footprint and opening or construction dates remain unresolved.,not_documented,documented_status_snapshot
LH-COMMERCIAL-2006-LADERA-CORPORATE-TERRACE,LH-ASSET-UAC-LADERA-CORPORATE-TERRACE,Ladera Corporate Terrace,office_and_fitness,under_development,2006-12-31,2006-12-31,day,,not_retrieved,LH-SRC-OC-BOND-2006Q4,high,Snapshot status only; historical footprint and opening or construction dates remain unresolved.,not_documented,documented_status_snapshot
LH-COMMERCIAL-2006-MONTESSORI-2101,LH-ASSET-UAC-MONTESSORI-2101,Montessori 2101,day_care,built_occupied,2006-12-31,2006-12-31,day,,not_retrieved,LH-SRC-OC-BOND-2006Q4,high,Snapshot status only; historical footprint and opening or construction dates remain unresolved.,not_documented,documented_status_snapshot
LH-COMMERCIAL-2006-KINDER-CARE-1000,LH-ASSET-UAC-KINDER-CARE-1000,Kinder Care 1000,day_care,built_occupied,2006-12-31,2006-12-31,day,,not_retrieved,LH-SRC-OC-BOND-2006Q4,high,Snapshot status only; historical footprint and opening or construction dates remain unresolved.,not_documented,documented_status_snapshot
LH-COMMERCIAL-2006-TRACT-16036-LOTS-40-41,LH-ASSET-UAC-TRACT-16036-LOTS-40-41,"Tract 16036 Lots 40, 41",mixed_use_retail,not_developed,2006-12-31,2006-12-31,day,,not_retrieved,LH-SRC-OC-BOND-2006Q4,high,Snapshot status only; historical footprint and opening or construction dates remain unresolved.,not_documented,documented_status_snapshot
LH-COMMERCIAL-2006-MERCHANTILE-EAST,LH-ASSET-UAC-MERCHANTILE-EAST,Merchantile East,shopping_center_retail,mostly_occupied,2006-12-31,2006-12-31,day,,not_retrieved,LH-SRC-OC-BOND-2006Q4,high,Snapshot status only; historical footprint and opening or construction dates remain unresolved.,not_documented,documented_status_snapshot
LH-COMMERCIAL-2006-LADERA-UAC-SELF-STORAGE,LH-ASSET-UAC-LADERA-UAC-SELF-STORAGE,Ladera UAC Self Storage,self_storage,built_occupied,2006-12-31,2006-12-31,day,,not_retrieved,LH-SRC-OC-BOND-2006Q4,high,Snapshot status only; historical footprint and opening or construction dates remain unresolved.,not_documented,documented_status_snapshot
