confidence,currentCenterlineSegmentCount,currentRoadId,currentVillageDirectoryAssociations,limitations,roadName,sourceIds,streetNameNormalized,validAt
high,1,LH-CURRENT-ROAD-0001,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ABELIA ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ABELIA ST,2026-07-27
high,8,LH-CURRENT-ROAD-0053,Flintridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BUSHWOOD CIR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BUSHWOOD CIR,2026-07-27
high,4,LH-CURRENT-ROAD-0054,Flintridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CALDWELL LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CALDWELL LN,2026-07-27
high,4,LH-CURRENT-ROAD-0055,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CALLIANDRA ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CALLIANDRA ST,2026-07-27
high,2,LH-CURRENT-ROAD-0056,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CALM CREEK CIR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CALM CREEK CIR,2026-07-27
high,6,LH-CURRENT-ROAD-0057,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CALTROP WAY,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CALTROP WAY,2026-07-27
high,1,LH-CURRENT-ROAD-0058,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CALVADOS CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CALVADOS CT,2026-07-27
high,13,LH-CURRENT-ROAD-0059,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CAMBRIDGE RD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CAMBRIDGE RD,2026-07-27
high,3,LH-CURRENT-ROAD-0060,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CANDLEWIND CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CANDLEWIND CT,2026-07-27
high,5,LH-CURRENT-ROAD-0061,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CAPRICORN DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CAPRICORN DR,2026-07-27
high,3,LH-CURRENT-ROAD-0062,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CARLISLE CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CARLISLE CT,2026-07-27
high,2,LH-CURRENT-ROAD-0063,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CASTOR CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CASTOR CT,2026-07-27
high,1,LH-CURRENT-ROAD-0064,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CAYTON CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CAYTON CT,2026-07-27
high,15,LH-CURRENT-ROAD-0065,Bridgepark,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CECIL PASTURE RD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CECIL PASTURE RD,2026-07-27
high,10,LH-CURRENT-ROAD-0066,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CELESTINE CIR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CELESTINE CIR,2026-07-27
high,5,LH-CURRENT-ROAD-0067,Wycliffe,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CERNER CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CERNER CT,2026-07-27
high,5,LH-CURRENT-ROAD-0068,Bridgepark,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CHADRON CIR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CHADRON CIR,2026-07-27
high,10,LH-CURRENT-ROAD-0069,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CHANTILLY LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CHANTILLY LN,2026-07-27
high,8,LH-CURRENT-ROAD-0070,Flintridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CHARDONNAY DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CHARDONNAY DR,2026-07-27
high,9,LH-CURRENT-ROAD-0071,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CHIANTI,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CHIANTI,2026-07-27
high,8,LH-CURRENT-ROAD-0072,Flintridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CHIMNEY LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CHIMNEY LN,2026-07-27
high,21,LH-CURRENT-ROAD-0073,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CHRISTOPHER ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CHRISTOPHER ST,2026-07-27
high,3,LH-CURRENT-ROAD-0074,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CITRUS LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CITRUS LN,2026-07-27
high,6,LH-CURRENT-ROAD-0075,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CLAWSON ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CLAWSON ST,2026-07-27
high,1,LH-CURRENT-ROAD-0076,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CLAYMONT DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CLAYMONT DR,2026-07-27
high,4,LH-CURRENT-ROAD-0077,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CLEMATIS ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CLEMATIS ST,2026-07-27
high,2,LH-CURRENT-ROAD-0078,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CLEOME ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CLEOME ST,2026-07-27
high,4,LH-CURRENT-ROAD-0079,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CLIFTON DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CLIFTON DR,2026-07-27
high,2,LH-CURRENT-ROAD-0080,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CLOISTER CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CLOISTER CT,2026-07-27
high,20,LH-CURRENT-ROAD-0081,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CLYDESDALE DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CLYDESDALE DR,2026-07-27
high,6,LH-CURRENT-ROAD-0082,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,COLUMNAR ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,COLUMNAR ST,2026-07-27
high,4,LH-CURRENT-ROAD-0083,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,COMET TRAIL,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,COMET TRL,2026-07-27
high,6,LH-CURRENT-ROAD-0084,Wycliffe,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,COMMONS SOUTH,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,COMMONS SOUTH,2026-07-27
high,4,LH-CURRENT-ROAD-0085,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CONNOR CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CONNOR CT,2026-07-27
high,11,LH-CURRENT-ROAD-0086,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CONSERVATORY DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CONSERVATORY DR,2026-07-27
high,7,LH-CURRENT-ROAD-0087,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CONYERS LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CONYERS LN,2026-07-27
high,3,LH-CURRENT-ROAD-0088,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,COPIOUS LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,COPIOUS LN,2026-07-27
high,7,LH-CURRENT-ROAD-0089,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CORAL BLUE ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CORAL BLUE ST,2026-07-27
high,3,LH-CURRENT-ROAD-0090,Flintridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,COTTAGE HILL RD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,COTTAGE HILL RD,2026-07-27
high,5,LH-CURRENT-ROAD-0091,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,COURTNEY CIR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,COURTNEY CIR,2026-07-27
high,9,LH-CURRENT-ROAD-0092,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,COUSTEAU LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,COUSTEAU LN,2026-07-27
high,38,LH-CURRENT-ROAD-0093,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,COVENANT HILLS DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,COVENANT HILLS DR,2026-07-27
high,4,LH-CURRENT-ROAD-0094,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,COWBOY RD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,COWBOY RD,2026-07-27
high,6,LH-CURRENT-ROAD-0095,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CRAFTSBURY PL,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CRAFTSBURY PL,2026-07-27
high,9,LH-CURRENT-ROAD-0096,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CRESPI CIR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CRESPI CIR,2026-07-27
high,1,LH-CURRENT-ROAD-0097,Flintridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CRESTMONT CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CRESTMONT CT,2026-07-27
high,3,LH-CURRENT-ROAD-0098,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CROCKETT CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CROCKETT CT,2026-07-27
high,3,LH-CURRENT-ROAD-0099,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,CURTIS LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,CURTIS LN,2026-07-27
high,1,LH-CURRENT-ROAD-0100,Township,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,DALEY ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,DALEY ST,2026-07-27
high,7,LH-CURRENT-ROAD-0101,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,DANBURY,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,DANBURY,2026-07-27
high,2,LH-CURRENT-ROAD-0102,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,DAVID ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,DAVID ST,2026-07-27
high,1,LH-CURRENT-ROAD-0103,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,DAVIS PL,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,DAVIS PL,2026-07-27
high,25,LH-CURRENT-ROAD-0104,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,DAWNWOOD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,DAWNWOOD,2026-07-27
high,5,LH-CURRENT-ROAD-0105,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,DE LEON LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,DE LEON LN,2026-07-27
