addressConstraint,association,confidence,limitations,neighborhood,sourceIds,sourceLocator,statementClass,streetLabel,streetNameNormalized,streetNeighborhoodId,village
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sarasota 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BANCROFT STREET,BANCROFT ST,LH-STREET-XWALK-0034,Oak Knoll
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Reston 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BARNSTABLE WAY,BARNSTABLE WAY,LH-STREET-XWALK-0035,Flintridge
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BARRETTS WAY,BARRETTS WAY,LH-STREET-XWALK-0036,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Meriden 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BASILICA PLACE,BASILICA PL,LH-STREET-XWALK-0037,Covenant Hills
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Trail Ridge 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BAUDIN CIRCLE,BAUDIN CIR,LH-STREET-XWALK-0038,Echo Ridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BAYLEY STREET,BAYLEY ST,LH-STREET-XWALK-0039,Wycliffe
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Hampton Road 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BEACON POINT,BEACON POINT,LH-STREET-XWALK-0040,Flintridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Bellataire 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BECKER DRIVE,BECKER DR,LH-STREET-XWALK-0041,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Claiborne 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BEDSTRAW LOOP,BEDSTRAW LOOP,LH-STREET-XWALK-0042,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 3,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BEECHTREE STREET,BEECHTREE ST,LH-STREET-XWALK-0043,Avendale
1-33,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Alisal,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BELL PASTURE ROAD (1-33),BELL PASTURE RD,LH-STREET-XWALK-0044,Covenant Hills
61-92,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BELL PASTURE ROAD (61-92),BELL PASTURE RD,LH-STREET-XWALK-0045,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BELLFLOWER STREET,BELLFLOWER ST,LH-STREET-XWALK-0046,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Valmont,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BENARVILLE LANE,BENARVILLE LN,LH-STREET-XWALK-0047,Terramor
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Belmont Hill 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BENNINGTON PATH,BENNINGTON PATH,LH-STREET-XWALK-0048,Flintridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Valmont,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BETHENCOURT LANE,BETHENCOURT LN,LH-STREET-XWALK-0049,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BLACK CHERRY ST,BLACK CHERRY ST,LH-STREET-XWALK-0050,Avendale
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Amberly Lane 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BLAKEMORE DRIVE,BLAKEMORE DR,LH-STREET-XWALK-0051,Oak Knoll
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Aldenhouse,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BLOOMINGTON STREET,BLOOMINGTON ST,LH-STREET-XWALK-0052,Township
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Willow Bend 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BLUE SPRUCE DRIVE,BLUE SPRUCE DR,LH-STREET-XWALK-0053,Avendale
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Weatherhaven,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BLUEWING LANE,BLUEWING LN,LH-STREET-XWALK-0054,Avendale
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Claiborne 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BOWER LANE,BOWER LN,LH-STREET-XWALK-0055,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sarasota 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BRAMFORD STREET,BRAMFORD ST,LH-STREET-XWALK-0056,Oak Knoll
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BRAYTON COURT,BRAYTON CT,LH-STREET-XWALK-0057,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Valmont,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BREMENDER LANE,BREMENDER LN,LH-STREET-XWALK-0058,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BRISTERS HILL LANE,BRISTERS HILL LN,LH-STREET-XWALK-0059,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arboledo,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BRITTLESTAR ROAD,BRITTLESTAR RD,LH-STREET-XWALK-0060,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BROKEN ARROW STREET,BROKEN ARROW ST,LH-STREET-XWALK-0061,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BROMPTON CIRCLE,BROMPTON CIR,LH-STREET-XWALK-0062,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BROOKWOOD ST,BROOKWOOD ST,LH-STREET-XWALK-0063,Avendale
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tamarind 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BRYANT COURT,BRYANT CT,LH-STREET-XWALK-0064,Echo Ridge
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BRYNWOOD LANE,BRYNWOOD LN,LH-STREET-XWALK-0065,Flintridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Covenant Hills,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BUCKAROO ROAD,BUCKAROO RD,LH-STREET-XWALK-0066,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BUCKMAN,BUCKMAN,LH-STREET-XWALK-0067,Terramor
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Hampton Road 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,BUSHWOOD CIRCLE,BUSHWOOD CIR,LH-STREET-XWALK-0068,Flintridge
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tamarind 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CALDWELL LANE,CALDWELL LN,LH-STREET-XWALK-0069,Flintridge
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Evergreen 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CALLIANDRA STREET,CALLIANDRA ST,LH-STREET-XWALK-0070,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Whispering Creek 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CALM CREEK CIRCLE,CALM CREEK CIR,LH-STREET-XWALK-0071,Oak Knoll
2-28 Even,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Claiborne 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CALTROP WAY (2-28 Even),CALTROP WAY,LH-STREET-XWALK-0072,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Valmont,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CALVADOS COURT,CALVADOS CT,LH-STREET-XWALK-0073,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Montanez,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CAMBRIDGE ROAD,CAMBRIDGE RD,LH-STREET-XWALK-0074,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CANDLEWIND COURT,CANDLEWIND CT,LH-STREET-XWALK-0075,Avendale
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CAPRICORN DRIVE,CAPRICORN DR,LH-STREET-XWALK-0076,Avendale
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sterling Glen 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CARLISLE COURT,CARLISLE CT,LH-STREET-XWALK-0077,Avendale
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CASTOR COURT,CASTOR CT,LH-STREET-XWALK-0078,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CATALINA VISTA DRIVE,CATALINA VISTA DR,LH-STREET-XWALK-0079,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CAYTON COURT,CAYTON CT,LH-STREET-XWALK-0080,Terramor
2-20,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Westcott 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CECIL PASTURE ROAD (2-20),CECIL PASTURE RD,LH-STREET-XWALK-0081,Bridgepark
22-36,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Westcott 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CECIL PASTURE ROAD (22-36),CECIL PASTURE RD,LH-STREET-XWALK-0082,Bridgepark
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CEDARHAVEN FARM,CEDARHAVEN FARM,LH-STREET-XWALK-0083,Wycliffe
1-18,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CELESTINE CIRCLE (1-18),CELESTINE CIR,LH-STREET-XWALK-0084,Avendale
20-40 even,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 3,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CELESTINE CIRCLE (20-40 even),CELESTINE CIR,LH-STREET-XWALK-0085,Avendale
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chesapeake 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CERNER COURT,CERNER CT,LH-STREET-XWALK-0086,Wycliffe
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chambray,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CHADRON CIRCLE,CHADRON CIR,LH-STREET-XWALK-0087,Bridgepark
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Fairfield 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CHANTILLY LANE,CHANTILLY LN,LH-STREET-XWALK-0088,Oak Knoll
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Lexington 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CHARDONNAY DRIVE,CHARDONNAY DR,LH-STREET-XWALK-0089,Flintridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Castellina SUB,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CHIANTI,CHIANTI,LH-STREET-XWALK-0090,Covenant Hills
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CHILMARK STREET,CHILMARK ST,LH-STREET-XWALK-0091,Wycliffe
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CHIMNEY LANE,CHIMNEY LN,LH-STREET-XWALK-0092,Flintridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Amarante 2 / Bellataire 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CHRISTOPHER STREET,CHRISTOPHER ST,LH-STREET-XWALK-0093,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Mosaic 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CITRUS LANE,CITRUS LN,LH-STREET-XWALK-0094,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLARK DRIVE,CLARK DR,LH-STREET-XWALK-0095,Terramor
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Prescott 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLAWSON STREET,CLAWSON ST,LH-STREET-XWALK-0096,Oak Knoll
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Whispering Creek 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLAYMONT DRIVE,CLAYMONT DR,LH-STREET-XWALK-0097,Oak Knoll
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Astoria 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLEMATIS STREET,CLEMATIS ST,LH-STREET-XWALK-0098,Avendale
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 3,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLEOME STREET,CLEOME ST,LH-STREET-XWALK-0099,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Briar Rose 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLIFFORD DRIVE,CLIFFORD DR,LH-STREET-XWALK-0100,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Briar Rose 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLIFTON DRIVE,CLIFTON DR,LH-STREET-XWALK-0101,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLOISTER COURT,CLOISTER CT,LH-STREET-XWALK-0102,Covenant Hills
20-36 even,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tamarind 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLYDESDALE DRIVE (20-36 even),CLYDESDALE DR,LH-STREET-XWALK-0103,Echo Ridge
2-10 even,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Lexington 3,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CLYDESDALE DRIVE (2-10 even),CLYDESDALE DR,LH-STREET-XWALK-0104,Echo Ridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,COLLINS STREET,COLLINS ST,LH-STREET-XWALK-0105,Wycliffe
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,COLUMNAR STREET,COLUMNAR ST,LH-STREET-XWALK-0106,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,COMET TRAIL,COMET TRL,LH-STREET-XWALK-0107,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,COMMONS SOUTH,COMMONS SOUTH,LH-STREET-XWALK-0108,Wycliffe
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Encantada,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CONNOR COURT,CONNOR CT,LH-STREET-XWALK-0109,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CONSERVATORY DRIVE,CONSERVATORY DR,LH-STREET-XWALK-0110,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 1,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CONYERS LANE,CONYERS LN,LH-STREET-XWALK-0111,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sedona 2,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,COPIOUS LANE,COPIOUS LN,LH-STREET-XWALK-0112,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CORAL BLUE STREET,CORAL BLUE ST,LH-STREET-XWALK-0113,Covenant Hills
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 2,documented_exact,CORBIN,CORBIN,LH-STREET-XWALK-0114,Wycliffe
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,COTTAGE HILL ROAD,COTTAGE HILL RD,LH-STREET-XWALK-0115,Flintridge
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Maplewood 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,COURTNEY CIRCLE,COURTNEY CIR,LH-STREET-XWALK-0116,Oak Knoll
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Trail Ridge 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,COUSTEAU LANE,COUSTEAU LN,LH-STREET-XWALK-0117,Echo Ridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Covenant Hills,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,COVENANT HILLS DRIVE,COVENANT HILLS DR,LH-STREET-XWALK-0118,Covenant Hills
