lit_id,citation,doi,pmid,study_design,population,sample_size,exposure,outcome,effect_estimate,confidence_interval,main_finding,limitations,relevance,evidence_direction
LIT-011,"Emeny RT, et al. Causes of Childhood Cancer: A Literature Review (2014-2021) Part 3: Environmental and Occupational Factors. Cancers (Basel). 2025;17(21):3516.",10.3390/cancers17213516,41228305,Systematic literature review,,"2014-2021 studies","Environmental/occupational","Childhood cancers","Strong: leukemia-traffic/residential pesticides; brain-agricultural pesticides. Ewing: only paternal textile dust","NOT EXTRACTED","Minimal ES-specific evidence; strongest pesticide signals leukemia & brain not ES","Review of heterogeneous studies",Medium,Does not resolve
LIT-012,"Nethery RC, Yang Y, Brown AJ, Dominici F. A causal inference framework for cancer cluster investigations using publicly available data. J R Stat Soc Ser A. 2020;183(3):1253-1272.",10.1111/rssa.12567,34262243,Statistical methods paper,,,,"Cancer cluster analysis","","","Defines silent multiple-comparisons problem; current SIR protocol tests risk before identifying a hazard source","Requires pre-specified exposure hypothesis",High,Methodological
LIT-013,"Investigating Suspected Cancer Clusters: Guidelines from CDC and CSTE. MMWR Recomm Rep. 2013;62(RR-8).",,,Guideline,US,"~1000 inquiries/yr","","Cluster response","","","Most inquiries resolved at initial contact; investigations unlikely to find an environmental contaminant; latency ~20 yr","Guideline; page fetch blocked",High,Methodological
LIT-014,"Wake County Ewing Sarcoma Investigation. NC OEEB (NC DHHS). 2013.",,,Cluster investigation,"Wake County NC","4-5 cases","Environmental (unspecified)","Ewing sarcoma","Observed did NOT exceed expected 2008-2012","","No excess vs expected; no common environmental exposure identified","Small numbers",High,Weakens
LIT-015,"Pennsylvania DOH. Childhood cancer investigation, Washington County / Canon-McMillan district. 2019-2023.",,,Cluster investigation + registry study,"Washington County PA","Multiple ES cases","Fracking/oil-gas proximity","Ewing sarcoma","ES rates ~3x expected in district 2005-2017; DOH concluded no confirmed cluster; broader study found no oil/gas-ES association","NOT EXTRACTED","Local excess noted but not attributed to environment","Ecological; case selection",High,Does not resolve
LIT-016,"McFarland childhood cancer cluster. CA Dept of Health Services. ~1975-1992.",,,Cluster investigation,"McFarland CA","~13-21 pediatric cancers (mixed)","Agricultural pesticides, water, air","Mixed childhood cancers","~3x expected rate reported","","Investigation UNRESOLVED; 4 pesticides studied and dismissed","Mixed cancer types; poor historical exposure data",Medium,Does not resolve
LIT-017,"Zhang L, Rana I, Shaffer RM, Taioli E, Sheppard L. Exposure to Glyphosate-Based Herbicides and Risk for Non-Hodgkin Lymphoma. Mutat Res Rev. 2019;781:186-206.",10.1016/j.mrrev.2019.02.001,31342895,Meta-analysis,Occupational,"6 studies; AHS 54251 applicators","Glyphosate/GBH (highest exposure)","NHL","Meta-RR 1.41; AHS cohort alone RR 1.12","1.13-1.75; 0.83-1.51","Pooled 41% up NHL in high exposure; cohort alone null","Imputation; exposure misclassification",Medium,Supports pesticide hypothesis
LIT-018,"Tarazona JV, et al. Glyphosate toxicity and carcinogenicity: EU assessment vs IARC. Arch Toxicol. 2017;91(8):2723-2743.",10.1007/s00204-017-1962-5,28374158,Regulatory review,,,"Glyphosate","Carcinogenicity","Qualitative: EU/EFSA not carcinogenic vs IARC 2A probable","","Documents genuine EU-IARC divergence on glyphosate","Review; agency-authored",Medium,Methodological/background
LIT-019,"Bradman A, et al. Residential mobility in early childhood and impact on misclassification in pesticide exposures. 2019.",,30928851,Methodological/cohort,US,,"Residential mobility","Exposure misclassification",">20% moved in year 1; ~55-58% of children with cancer moved between birth and diagnosis","","Birth address poorly proxies later exposure; mobility biases studies","",High,Methodological
LIT-020,"Van Maele-Fabry G, et al. Parental Pesticide Exposure and Childhood Brain Cancer: Systematic Review and Meta-Analysis. Children (Basel). 2021;8(12):1096.",10.3390/children8121096,,Systematic review/meta-analysis,,"130 case-control, 43598 subjects","Prenatal/residential pesticides","Childhood brain tumors","Prenatal OR 1.32; post-birth OR 1.22; residential OR 1.31","1.17-1.49; 1.03-1.45; 1.11-1.54","Consistent association of pesticides with childhood brain tumors (not ES)","Heterogeneity; self-report",Low,Supports pesticide hypothesis
LIT-021,"Kulldorff M. SaTScan User Guide v10.1; NCI surveillance resource. 2022.",,,Software/methods,,,,"Spatial cluster detection","Poisson, Bernoulli, space-time permutation models","","Standard tool for testing whether spatial/space-time cluster exceeds chance","Requires appropriate denominators",High,Methodological
LIT-022,"Bayesian small-area disease mapping (BYM2/INLA; British Columbia application). Front Oncol. 2022;12:833265.",10.3389/fonc.2022.833265,36338766,Methods/applied,British Columbia,,,"Rare cancer mapping","","","Crude SIRs unstable for rare disease; Bayesian shrinkage stabilizes estimates","",High,Methodological
