image_id,title,date,repository,rights,interpretation_boundary,original_path,original_dimensions,published_file,published_dimensions,published_kb,confidence
FIG-11,The ranch structure on the 1948 topographic sheet,1948,U.S. Geological Survey,Public domain (U.S. Government work).,"The single building inside the footprint, at a trail convergence near elevation 307. The map does not label it. Recorded as a ranch-activity node, not as a dip site.",research/historical_imagery/07_zoom_1948_ranch_structure_elev307.jpg,1120x880,assets/images/fig-11.jpg,1120x880,153,High - direct reproduction of source imagery
FIG-12,Why automated detection failed,1948,U.S. Geological Survey,Public domain (U.S. Government work).,"An automated detector returned 25 building-like candidates on the 1948 sheet. Visual review showed 24 were artifacts - letters from the MISSION VIEJO map label, red section-line dots, and a benchmark X. None of the rejected candidates is plotted anywhere in this publication.",research/historical_imagery/10_zoom_1948_south_false_positives.jpg,920x720,assets/images/fig-12.jpg,920x720,135,High - direct reproduction of source imagery
FIG-13,"USDA BAI Circular 174, 'Eradicating Cattle Ticks in California' - contents",1911,"USDA National Agricultural Library, via Internet Archive",Public domain (US Government work). Archive.org states: 'The contributing institution believes that this item is not in copyright.',"A federal circular published specifically about California. Establishes that the programme addressed this state directly. Circular No. 174, reprinted from the 26th Annual Report of the Bureau of Animal Industry, 1909.",evidence/images/usda_bai_circ174_1911_contents_and_list_of_plates.png,1621x2725,assets/images/fig-13.jpg,1071x1800,126,High - direct reproduction of source document
FIG-14,"Circular 174, page 285 - Orange County listed as heavily tick-infested",1911,"USDA National Agricultural Library, via Internet Archive",Public domain (US Government work). Archive.org states: 'The contributing institution believes that this item is not in copyright.',"THE DECISIVE PAGE. Lists Orange County among counties 'heavily infested', and refers to losses 'south of the quarantine line in California'. This is COUNTY-LEVEL classification only - it does NOT place a dipping vat on any parcel, on Rancho Mission Viejo, or within the Ladera Ranch footprint.",evidence/images/usda_bai_circ174_1911_p285_ORANGE_and_SAN_DIEGO_counties_heavily_tick_infested.png,1650x2734,assets/images/fig-14.jpg,1086x1800,402,High - direct reproduction of source document
FIG-15,"Circular 174, page 293 - the required vat poison warning",1911,"USDA National Agricultural Library, via Internet Archive",Public domain (US Government work). Archive.org states: 'The contributing institution believes that this item is not in copyright.',Verbatim text of the notice USDA required at every vat: 'WARNING! The fluid in this vat is POISONOUS to man and all animals.' Establishes official recognition of the hazard. Says nothing about whether any vat operated on this land.,evidence/images/usda_bai_circ174_1911_p293_VAT_POISON_WARNING_sign_text.png,1596x2709,assets/images/fig-15.jpg,1060x1800,358,High - direct reproduction of source document
FIG-16,"Circular 174, figure 7 - swim vat plans and specifications",1911,"USDA National Agricultural Library, via Internet Archive",Public domain (US Government work). Archive.org states: 'The contributing institution believes that this item is not in copyright.',"The large permanent design: approximately 2,088 gallons at five feet depth. A structure of this class WOULD leave a photographically obvious footprint - which is why the imagery search retains some force against this design specifically.",evidence/images/usda_bai_circ174_1911_p295_fig7_swim_vat_plans.png,1621x2721,assets/images/fig-16.jpg,1072x1800,393,High - direct reproduction of source document
FIG-17,"Circular 174, Plate XV - cage vat in operation",1911,"USDA National Agricultural Library, via Internet Archive",Public domain (US Government work). Archive.org states: 'The contributing institution believes that this item is not in copyright.',"Three photographs: gross view, cage lowered with attendant ducking the animal, and cage raised. Materials cost $55-65. Per page 299 this vat 'is installed near the corrals and requires only a short chute', and draining pens 'are not essential and are rarely used'.",evidence/images/usda_bai_circ174_1911_PLATE_XV_cage_vat_for_dipping_cattle.png,2650x1550,assets/images/fig-17.jpg,1800x1053,249,High - direct reproduction of source document
FIG-18,"Circular 174, figure 10 - small wade tank plans",1911,"USDA National Agricultural Library, via Internet Archive",Public domain (US Government work). Archive.org states: 'The contributing institution believes that this item is not in copyright.',"THE FIGURE THAT FORCED CORRECTION C-004. Materials cost 'less than $10'; roughly 15 ft long and 4 ft deep; buildable 'of either lumber or cement'. An installation of this size need not be resolvable on 1.15 ft/px aerial photography, which downgrades this investigation's negative imagery finding to Low confidence.",evidence/images/usda_bai_circ174_1911_p299_fig10_small_wade_tank_plans.png,1655x2742,assets/images/fig-18.jpg,1086x1800,313,High - direct reproduction of source document
FIG-19,"BAI Circular 183, 'Precautions in the use of arsenic'",1911,"USDA National Agricultural Library, via Internet Archive",Public domain (US Government work). Archive.org states: 'The contributing institution believes that this item is not in copyright.',"Addresses arsenic absorption through cuts in the skin and by vapour, and warns of livestock and human fatality. Federal documentation that the material was handled as a recognised acute poison.",evidence/images/usda_bai_circ183_1911_p8_precautions_use_of_arsenic_POISON_WARNING.png,1613x2705,assets/images/fig-19.jpg,1073x1800,420,High - direct reproduction of source document
FIG-20,"BAI Circular 207, figure 1 - concrete dipping vat engineering drawing",1912,"USDA National Agricultural Library, via Internet Archive",Public domain (US Government work). Archive.org states: 'The contributing institution believes that this item is not in copyright.',Standardised federal construction plan. Included to show what the permanent design specified; no such structure has been identified on this land.,evidence/images/usda_bai_circ207_1912_fig1_concrete_dipping_vat_plan.png,2713x1625,assets/images/fig-20.jpg,1800x1078,276,High - direct reproduction of source document
FIG-21,"Cattle grazing near a stream, Santa Margarita ranch, San Diego County, 1900",1900,"USC Libraries Special Collections / California Historical Society Collection, 1860-1960",Public Domain. Credit both 'University of Southern California. Libraries' and 'California Historical Society' as the source. Digitally reproduced by the USC Digital Library.,"CRITICAL BOUNDARY: this depicts the Santa Margarita ranch in SAN DIEGO COUNTY - the Rancho Santa Margarita y Las Flores property, now largely Camp Pendleton. It is NOT the Ladera Ranch footprint. The properties shared ownership under the O'Neill and Flood interests and were partitioned in the 1940s, but they are different land. Included to illustrate the ranching operation of the period, NOT as a depiction of this study area. Repository states the date as 1900, not circa. No photographer is named; do not attribute to C.C. Pierce.",evidence/images/usc_chs2358_UC139843_cattle_grazing_near_small_stream_santa_margarita_ranch_sd_county_1900.jpg,1200x953,assets/images/fig-21.jpg,1200x953,212,High - direct reproduction of source document
FIG-22,"Herd of cattle grazing, Santa Margarita Ranch, San Diego County, 1900",1900,"USC Libraries Special Collections / California Historical Society Collection, 1860-1960",Public Domain. Credit both 'University of Southern California. Libraries' and 'California Historical Society' as the source. Digitally reproduced by the USC Digital Library.,"Same boundary as FIG-21: SAN DIEGO COUNTY land, not the Ladera Ranch footprint. Shows herd scale in the period during which the tick programme operated. Call no. CHS-2360, DOI 10.25549/chs-m9638.",evidence/images/usc_chs2360_UC139844_herd_of_cattle_grazing_santa_margarita_ranch_sd_county_1900.jpg,1200x944,assets/images/fig-22.jpg,1200x944,140,High - direct reproduction of source document
FIG-23,"Santa Marguerita Ranch - Vineyard and Winery, 1886",1886,"USC Libraries Special Collections / California Historical Society Collection, 1860-1960",Public Domain. Credit both 'University of Southern California. Libraries' and 'California Historical Society' as the source. Digitally reproduced by the USC Digital Library.,"DATE CORRECTED: the repository states 1886, not the 1887 commonly cited online, and spells the ranch 'Marguerita'. The 1887 date traces only to an uncredited reproduction with no repository or identifier. SAN DIEGO COUNTY property, not the Ladera Ranch footprint. Call no. CHS-2085; additionally released CC BY 3.0.",evidence/images/usc_chs2085_UC123008_santa_marguerita_ranch_vineyard_and_winery_1886.jpg,1200x940,assets/images/fig-23.jpg,1200x940,172,High - direct reproduction of source document
FIG-24,"Plat of Rancho Santa Margarita y Las Flores, surveyed by Max Strobel, July 1867",1867,"The Bancroft Library, University of California, Berkeley",Bancroft Library digital collections; consult repository for reuse terms.,"NOT the 1912 plat sought. No 1912 plat has been located - see DE-008, and note that BLM GLO Records could not be searched at all (DE-007), so this is an unsearched archive rather than a demonstrated absence. Cartouche states 89,742 acres; handwritten certifications on the sheet are dated 1868 and 1870, later than the survey. SAN DIEGO COUNTY grant, adjoining but distinct from Rancho Mission Viejo. Land Case Map E-1362A.",evidence/images/Bancroft_LandCaseMapE-1362A_1867_Plat_RanchoSantaMargaritaYLasFlores_Strobel.jpg,1500x1155,assets/images/fig-24.jpg,1500x1155,164,High - direct reproduction of source document
FIG-25,"Sections infested with Southern cattle fever ticks and quarantined, 30 June 1912",1912,"California State Veterinarian / State of California, via Internet Archive","Public domain (California state government publication, 1912).","Dark areas represent infested and quarantined sections. San Diego County is hatched almost entirely. Orange County is essentially clear EXCEPT a small solid wedge at its extreme southern coastal corner where it adjoins San Diego County. STATE-SCALE MAP: county outlines are generalised and the drafting cannot resolve a four-square-mile community. It shows the residual area's approximate position, not its boundary.",evidence/documents/CAStateVet_1912_p11_TickInfestationMap_June30_1912.png,2078x3540,assets/images/fig-25.jpg,1057x1800,162,High - direct reproduction of source document
FIG-26,"The same map, Orange / San Diego County detail",1912,"California State Veterinarian / State of California, via Internet Archive","Public domain (California state government publication, 1912).","The 'ORANGE' label sits well north-west of the solid dark wedge. The wedge lies at the coastal corner adjoining San Diego County - the San Clemente / San Onofre area. Ladera Ranch is roughly 8-10 miles north of that corner and appears OUTSIDE the residual quarantine area. THIS IS A READING OF A SMALL-SCALE MAP, NOT A BOUNDARY DETERMINATION. The proclamation text itself does not delimit the area.",evidence/documents/zoom_1912map_OrangeSanDiego.png,2492x2264,assets/images/fig-26.jpg,1800x1635,132,High - direct reproduction of source document
FIG-27,"USGS Corona quadrangle, field-surveyed 1899 — the pre-dipping baseline",1899,U.S. Geological Survey,Public domain (U.S. Government work).,"The OLDEST depiction of this land that exists: field-surveyed 1899, eight years before the dipping era and thirty years before the first aerial. At 1:125,000 it is too coarse to show a single building or a vat, and it PRE-DATES any dipping vat, so it cannot show one. It establishes the before picture: Arroyo Trabuco as the main drainage, the north-south corridor road, the R8W/R7W township line through the footprint (confirming the parcel straddles two ranges), and no settlement inside the footprint. Cyan box = the study footprint.",research/historical_imagery/candidates/PREDIP_1899_corona_footprint.jpg,4719x4761,assets/images/fig-27.jpg,1784x1800,893,High - direct reproduction / derived figure
FIG-28,"Candidate working-area regions — a sampling frame, not vat detections",1937-38,This investigation (derived; base imagery OC Survey),Derived figure; base imagery public record.,"PRIORITY-SEARCH ZONES ONLY. These are the eight places where a working facility would most likely have stood IF one existed, ranked by terrain logic (mapped water + flat ground + trail convergence). R1 is the one known 1948 structure; R2-R8 are water clusters. NO vat or corral was detected at any of them on the 1.15 ft/px imagery. They are where soil sampling should begin, NOT locations where anything has been found. Every candidate clusters on the western Trabuco corridor because that is the only water in the footprint.",research/historical_imagery/candidates/REGIONS_1937.jpg,1600x1387,assets/images/fig-28.jpg,1600x1387,687,High - direct reproduction / derived figure
FIG-29,California dipping-program counties vs. modern development,1907-1915 / present,"This investigation (derived; base: US Census county boundaries, USDA Circular 174)",Derived figure; base data public domain.,"NOT a map of dip vats or contamination. It shades the 13 counties the USDA named in the 1907-1915 tick program and marks major communities on former ranchos, distinguishing residential ones from the big ranches now federal/farmland/unbuilt. Vat locations were never inventoried and are unknown; soil is unstudied everywhere except the Ladera footprint. Shows program reach vs. development ONLY.",research/statewide/CA_dipping_counties_vs_development.jpg,1500x2000,assets/images/fig-29.jpg,1200x1600,129,High - derived figure from public data
