apn,siteAddress,yearBuiltRaw,bedrooms,apnSource,limitation
125-181-59,26722 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-60,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-61,ADDRESS NOT AVAILABLE,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-62,ADDRESS NOT AVAILABLE,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-63,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-64,,0,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-01,5 MERRIWEATHER PL,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-02,7 MERRIWEATHER PL,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-03,9 MERRIWEATHER PL,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-04,11 MERRIWEATHER PL,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-05,15 MERRIWEATHER PL,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-06,17 MERRIWEATHER PL,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-07,6 LUNA CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-08,4 LUNA CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-09,2 LUNA CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-10,1 LUNA CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-11,3 LUNA CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-12,5 LUNA CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-13,8 CANDLE WIND CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-14,6 CANDLE WIND CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-15,4 CANDLE WIND CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-16,2 CANDLE WIND CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-17,1 CANDLE WIND CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-18,3 CANDLE WIND CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-19,7 CANDLE WIND CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-20,1 CELESTINE CIR,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-21,2 CELESTINE CIR,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-22,4 CELESTINE CIR,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-23,6 CELESTINE CIR,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-24,10 CELESTINE CIR,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-25,12 CELESTINE CIR,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-26,14 CELESTINE CIR,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-27,16 CELESTINE CIR,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-28,18 CELESTINE CIR,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-29,41 AGAPANTHUS ST,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-30,39 AGAPANTHUS ST,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-31,37 AGAPANTHUS ST,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-32,35 AGAPANTHUS ST,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-33,33 AGAPANTHUS ST,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-34,31 AGAPANTHUS ST,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-35,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-36,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-37,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-38,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-011-39,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-012-01,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-01,2 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-02,4 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-03,6 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-04,8 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-05,10 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-06,12 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-07,14 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-08,16 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-09,18 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-10,3 CARLISLE CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-11,5 CARLISLE CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-12,6 CARLISLE CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-13,4 CARLISLE CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-14,2 CARLISLE CT,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-15,25 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-16,23 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-17,21 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-18,19 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-19,17 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-20,15 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-21,11 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-22,9 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-23,7 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-24,5 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-25,3 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-26,1 LANGFORD LN,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-27,2 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-28,4 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-29,6 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-30,8 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-31,10 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-32,12 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-33,16 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-34,18 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-35,20 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-36,22 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-37,24 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-38,25 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-39,23 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-40,21 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-41,19 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-42,17 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-43,15 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-44,11 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-45,9 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-46,7 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-47,5 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-48,1 SHIVELY RD,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-49,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-50,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-51,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-52,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-53,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-54,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-55,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-56,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-57,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-58,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-59,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-60,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-61,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
741-021-62,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
